Buyer(budget=307.43, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=312.03, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 15, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=306.46, needs=0.15, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 25, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=305.58, needs=0.25, best_offers=[[-0.029, 0.1839088124947509, 0.4], [4.488, 0.5711286232315719, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 15, 35, 5], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=298.61, needs=0.35, best_offers=[[-0.029, 0.1839088124947509, 0.4], [4.488, 0.5711286232315719, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 25, 45, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=302.44, needs=0.45, best_offers=[[-0.029, 0.1839088124947509, 0.4], [5.207, 0.48063641020090064, 0.46], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 35, 45, 15], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.57112862, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=308.86, needs=0.55, best_offers=[[-0.029, 0.1839088124947509, 0.4], [8.555, 0.48916610787275516, 0.48300000000000004], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 35, 45, 25], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.57112862, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=308.81, needs=0.65, best_offers=[[-0.029, 0.1839088124947509, 0.4], [8.555, 0.48916610787275516, 0.48300000000000004], [-0.219, 0.3427396460731093, 0.21], [13.325, 0.7975712723008119, 0.39599999999999996]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 35, 55, 25], day_calories=1820, estimated=[array([0.18390881, 0.4       ]), array([0.57112862, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=314.64, needs=0.75, best_offers=[[-0.029, 0.1839088124947509, 0.4], [8.555, 0.48916610787275516, 0.48300000000000004], [-0.219, 0.3427396460731093, 0.21], [13.325, 0.7975712723008119, 0.39599999999999996]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 15, 5, 5, 35, 65, 25], day_calories=3640, estimated=[array([0.18390881, 0.4       ]), array([0.57112862, 0.36      ]), array([0.34273965, 0.21      ]), array([0.79757127, 0.396     ]), [0, 1]])

Buyer(budget=327.07, needs=0.85, best_offers=[[-0.029, 0.1839088124947509, 0.4], [8.555, 0.48916610787275516, 0.48300000000000004], [-0.219, 0.3427396460731093, 0.21], [13.325, 0.7975712723008119, 0.39599999999999996]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 15, 5, 5, 35, 75, 35], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.57112862, 0.36      ]), array([0.34273965, 0.21      ]), array([0.79757127, 0.396     ]), [0, 1]])

