Buyer(budget=49.02, needs=0.05, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=50.09, needs=0.05, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 15, 5, 5], day_calories=0, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=51.32, needs=0.15, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 25, 5, 5], day_calories=0, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=53.75, needs=0.25, best_offers=[[-0.034, 0.18044556920841043, 0.36], [0.749, 0.5711286232315719, 0.36], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 35, 5, 5], day_calories=2860, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=58.32, needs=0.35, best_offers=[[-0.034, 0.18044556920841043, 0.36], [0.749, 0.5711286232315719, 0.36], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 35, 5, 5], day_calories=0, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=58.89, needs=0.45, best_offers=[[1.192, 0.164655430522536, 0.275], [0.749, 0.5711286232315719, 0.36], [3.28, 0.3377874980419395, 0.4], [-0.627, 0.7808408758221697, 0.3]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 18, 5, 5, 5, 48, 5, 5], day_calories=3550, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=61.28, needs=0.55, best_offers=[[1.192, 0.164655430522536, 0.275], [2.177, 0.4771605252897767, 0.45], [3.28, 0.3377874980419395, 0.4], [-0.627, 0.7808408758221697, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 29, 5, 5, 5, 48, 5, 5], day_calories=1430, estimated=[array([0.16465543, 0.275     ]), array([0.57112862, 0.36      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=67.43, needs=0.65, best_offers=[[1.192, 0.164655430522536, 0.275], [1.366, 0.5034344872023415, 0.5175000000000001], [3.28, 0.3377874980419395, 0.4], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 36, 5, 5, 5, 58, 5, 5], day_calories=1430, estimated=[array([0.16465543, 0.275     ]), array([0.57112862, 0.36      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=69.3, needs=0.75, best_offers=[[1.192, 0.164655430522536, 0.275], [1.366, 0.5034344872023415, 0.5175000000000001], [3.28, 0.3377874980419395, 0.4], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 46, 5, 5, 5, 68, 5, 5], day_calories=1600, estimated=[array([0.16465543, 0.275     ]), array([0.50343449, 0.5175    ]), array([0.3377875, 0.4      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=71.76, needs=0.85, best_offers=[[1.192, 0.164655430522536, 0.275], [1.366, 0.5034344872023415, 0.5175000000000001], [3.28, 0.3377874980419395, 0.4], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 46, 5, 5, 5, 78, 5, 5], day_calories=2860, estimated=[array([0.16465543, 0.275     ]), array([0.50343449, 0.5175    ]), array([0.3377875, 0.4      ]), array([0.78084088, 0.3       ]), [0, 1]])

