Buyer(budget=256.82, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=265.39, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=249.89, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=198.35, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=168.96, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=176.81, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=234.97, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.40279053, 0.2       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=308.47, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.138, 0.45436590597951576, 0.40950000000000003], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.16748398, 0.32      ]), array([0.40279053, 0.2       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=439.95, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.132, 0.45742473952609924, 0.42], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.40279053, 0.2       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=587.92, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.132, 0.45742473952609924, 0.42], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.16748398, 0.32      ]), array([0.40151688, 0.19      ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

