Buyer(budget=249.19, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=253.51, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 15, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=240.83, needs=0.15, best_offers=[[8.891, 0.1612035522991199, 0.37], [16.909, 0.4911747326313196, 0.36], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 28, 5, 5, 5, 15, 5], day_calories=3410, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=228.9, needs=0.25, best_offers=[[1.448, 0.16203031811869553, 0.38], [16.909, 0.4911747326313196, 0.36], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 42, 5, 5, 5, 15, 5], day_calories=1980, estimated=[array([0.16120355, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=219.1, needs=0.35, best_offers=[[1.448, 0.16203031811869553, 0.38], [16.909, 0.4911747326313196, 0.36], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 55, 5, 5, 5, 15, 5], day_calories=1430, estimated=[array([0.16120355, 0.37      ]), array([0.49229375, 0.32      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=213.21, needs=0.45, best_offers=[[1.448, 0.16203031811869553, 0.38], [16.909, 0.4911747326313196, 0.36], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 82, 5, 5, 5, 28, 5], day_calories=0, estimated=[array([0.16203032, 0.38      ]), array([0.49117473, 0.36      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=219.33, needs=0.55, best_offers=[[1.448, 0.16203031811869553, 0.38], [16.909, 0.4911747326313196, 0.36], [-0.179, 0.27186724147886554, 0.2]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 92, 5, 5, 15, 28, 5], day_calories=4290, estimated=[array([0.16203032, 0.38      ]), array([0.49117473, 0.36      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=221.11, needs=0.65, best_offers=[[1.448, 0.16203031811869553, 0.38], [16.909, 0.4911747326313196, 0.36], [2.168, 0.2718562861677489, 0.2]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 5, 15, 28, 5], day_calories=400, estimated=[array([0.16203032, 0.38      ]), array([0.57763536, 0.342     ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=227.28, needs=0.75, best_offers=[[1.448, 0.16203031811869553, 0.38], [3.263, 0.4571328428704964, 0.3835], [2.168, 0.2718562861677489, 0.2]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 5, 15, 35, 5], day_calories=2860, estimated=[array([0.16203032, 0.38      ]), array([0.57763536, 0.342     ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=226.9, needs=0.85, best_offers=[[1.448, 0.16203031811869553, 0.38], [3.263, 0.4571328428704964, 0.3835], [2.168, 0.2718562861677489, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 5, 25, 45, 5], day_calories=550, estimated=[array([0.16203032, 0.38      ]), array([0.57763536, 0.342     ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

