Buyer(budget=51.79, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=52.67, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 15, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=52.36, needs=0.15, best_offers=[[-0.037, 0.1674839842149281, 0.32], [19.567, 0.45151601095416244, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 28, 5, 5, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=52.56, needs=0.25, best_offers=[[-0.037, 0.1674839842149281, 0.32], [19.567, 0.45151601095416244, 0.4], [0.376, 0.333597798858695, 0.22]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 55, 5, 5, 5], day_calories=400, estimated=[array([0.16748398, 0.32      ]), array([0.45151601, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=52.47, needs=0.35, best_offers=[[-0.037, 0.1674839842149281, 0.32], [0.128, 0.4543933608150149, 0.41], [0.376, 0.333597798858695, 0.22]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 62, 5, 5, 5], day_calories=1430, estimated=[array([0.16748398, 0.32      ]), array([0.45151601, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=53.42, needs=0.3, best_offers=[[-0.037, 0.1674839842149281, 0.32], [0.128, 0.4543933608150149, 0.41], [0.376, 0.333597798858695, 0.22]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 62, 5, 5, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.45439336, 0.41      ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=54.07, needs=0.35, best_offers=[[-0.037, 0.1674839842149281, 0.32], [0.729, 0.4489322881784583, 0.39], [0.376, 0.333597798858695, 0.22]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 72, 5, 5, 5], day_calories=1430, estimated=[array([0.16748398, 0.32      ]), array([0.45453983, 0.41      ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=53.19, needs=0.45, best_offers=[[-0.037, 0.1674839842149281, 0.32], [0.729, 0.4489322881784583, 0.39], [0.376, 0.333597798858695, 0.22]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 72, 15, 5, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.45453983, 0.41      ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=53.62, needs=0.55, best_offers=[[0.177, 0.17384342978098904, 0.3993], [0.729, 0.4489322881784583, 0.39], [0.376, 0.333597798858695, 0.22]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 85, 15, 5, 5], day_calories=1650, estimated=[array([0.16748398, 0.32      ]), array([0.45453983, 0.41      ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=54.77, needs=0.45, best_offers=[[0.177, 0.17384342978098904, 0.3993], [0.729, 0.4489322881784583, 0.39], [0.376, 0.333597798858695, 0.22]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 95, 15, 5, 5], day_calories=1600, estimated=[array([0.16748398, 0.32      ]), array([0.59717746, 0.3306    ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

