Buyer(budget=33.84, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=34.85, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 15], day_calories=0, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=35.85, needs=0.15, best_offers=[[2.312, 0.1581374999168262, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27]], product_found=[1, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 28], day_calories=550, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=35.56, needs=0.25, best_offers=[[2.312, 0.1581374999168262, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [0.52, 0.8075269027372538, 0.29]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 15, 5, 38], day_calories=3640, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=34.84, needs=0.35, best_offers=[[2.312, 0.1581374999168262, 0.33], [-0.146, 0.4617264374842528, 0.4], [0.886, 0.3592347405693904, 0.35], [0.52, 0.8075269027372538, 0.29]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 25, 5, 48], day_calories=2000, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=36.65, needs=0.45, best_offers=[[0.425, 0.1615838477317702, 0.374], [-0.146, 0.4617264374842528, 0.4], [0.886, 0.3592347405693904, 0.35], [0.52, 0.8075269027372538, 0.29]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 38, 5, 65], day_calories=1650, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.35923474, 0.35      ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=39.13, needs=0.35, best_offers=[[0.425, 0.1615838477317702, 0.374], [-0.146, 0.4617264374842528, 0.4], [0.886, 0.3592347405693904, 0.35], [0.52, 0.8075269027372538, 0.29]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 48, 5, 75], day_calories=0, estimated=[array([0.16158385, 0.374     ]), array([0.46172644, 0.4       ]), array([0.35923474, 0.35      ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=40.1, needs=0.45, best_offers=[[0.425, 0.1615838477317702, 0.374], [2.184, 0.5001567205803191, 0.51], [0.886, 0.3592347405693904, 0.35], [0.52, 0.8075269027372538, 0.29]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 48, 5, 85], day_calories=2860, estimated=[array([0.16158385, 0.374     ]), array([0.46172644, 0.4       ]), array([0.35923474, 0.35      ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=39.93, needs=0.55, best_offers=[[0.425, 0.1615838477317702, 0.374], [2.184, 0.5001567205803191, 0.51], [0.886, 0.3592347405693904, 0.35], [0.52, 0.8075269027372538, 0.29]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 48, 5, 95], day_calories=2860, estimated=[array([0.16158385, 0.374     ]), array([0.50015672, 0.51      ]), array([0.35923474, 0.35      ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=41.36, needs=0.65, best_offers=[[0.425, 0.1615838477317702, 0.374], [2.184, 0.5001567205803191, 0.51], [0.886, 0.3592347405693904, 0.35], [0.52, 0.8075269027372538, 0.29]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 48, 5, 95], day_calories=0, estimated=[array([0.16158385, 0.374     ]), array([0.50015672, 0.51      ]), array([0.35923474, 0.35      ]), array([0.70188891, 0.27      ]), [0, 1]])

