Buyer(budget=35.27, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=35.58, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=35.12, needs=0.15, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [3.762, 0.3175996017264207, 0.26]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[28, 5, 5, 5, 5, 5, 5, 5], day_calories=2000, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=36.24, needs=0.25, best_offers=[[-0.031, 0.148181516556606, 0.33], [0.285, 0.40404192023275065, 0.21], [3.762, 0.3175996017264207, 0.26]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[45, 5, 5, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.3175996, 0.26     ]), [0, 1], [0, 1]])

Buyer(budget=37.49, needs=0.18, best_offers=[[0.906, 0.15154515602361815, 0.374], [0.285, 0.40404192023275065, 0.21], [3.762, 0.3175996017264207, 0.26]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[62, 5, 5, 5, 5, 5, 5, 5], day_calories=3000, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.3175996, 0.26     ]), [0, 1], [0, 1]])

Buyer(budget=36.65, needs=0.28, best_offers=[[0.906, 0.15154515602361815, 0.374], [1.298, 0.40279052768626394, 0.2], [3.762, 0.3175996017264207, 0.26]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[79, 5, 5, 5, 5, 5, 5, 5], day_calories=3030, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=36.72, needs=0.38, best_offers=[[0.906, 0.15154515602361815, 0.374], [1.298, 0.40279052768626394, 0.2], [3.762, 0.3175996017264207, 0.26]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[89, 5, 5, 5, 5, 5, 5, 5], day_calories=1200, estimated=[array([0.15154516, 0.374     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=36.97, needs=0.48, best_offers=[[0.906, 0.15154515602361815, 0.374], [1.298, 0.40279052768626394, 0.2], [3.762, 0.3175996017264207, 0.26]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[100, 5, 5, 5, 5, 5, 5, 5], day_calories=1650, estimated=[array([0.15154516, 0.374     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=37.55, needs=0.38, best_offers=[[0.906, 0.15154515602361815, 0.374], [1.298, 0.40279052768626394, 0.2], [3.762, 0.3175996017264207, 0.26]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[100, 5, 5, 5, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.15688606, 0.43      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=36.68, needs=0.48, best_offers=[[0.906, 0.15154515602361815, 0.374], [1.298, 0.40279052768626394, 0.2], [0.25, 0.31656310661761616, 0.25]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[100, 5, 5, 5, 5, 5, 5, 5], day_calories=2400, estimated=[array([0.15907412, 0.45      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

