Buyer(budget=38.95, needs=0.05, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=39.38, needs=0.05, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 15, 5, 5], day_calories=0, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=38.88, needs=0.15, best_offers=[[3.725, 0.16744293742796548, 0.32], [-0.214, 0.5489835300359232, 0.35], [5.797, 0.33360867495010116, 0.22]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 18, 28, 5, 5], day_calories=2550, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=40.49, needs=0.25, best_offers=[[3.725, 0.16744293742796548, 0.32], [0.459, 0.49229375131332703, 0.32], [5.797, 0.33360867495010116, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 25, 5, 28, 48, 5, 5], day_calories=2530, estimated=[array([0.16744294, 0.32      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=43.01, needs=0.21, best_offers=[[3.725, 0.16744293742796548, 0.32], [0.459, 0.49229375131332703, 0.32], [5.797, 0.33360867495010116, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 38, 5, 38, 61, 5, 5], day_calories=550, estimated=[array([0.16744294, 0.32      ]), array([0.49229375, 0.32      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=43.73, needs=0.31, best_offers=[[3.725, 0.16744293742796548, 0.32], [2.065, 0.5004150075206081, 0.31], [5.797, 0.33360867495010116, 0.22]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 48, 5, 38, 71, 5, 5], day_calories=2860, estimated=[array([0.16744294, 0.32      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=44.26, needs=0.41, best_offers=[[3.725, 0.16744293742796548, 0.32], [2.065, 0.5004150075206081, 0.31], [5.797, 0.33360867495010116, 0.22]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 68, 5, 38, 88, 5, 5], day_calories=3260, estimated=[array([0.16744294, 0.32      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=46.06, needs=0.51, best_offers=[[3.725, 0.16744293742796548, 0.32], [2.065, 0.5004150075206081, 0.31], [5.797, 0.33360867495010116, 0.22]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 68, 5, 54, 100, 5, 5], day_calories=2380, estimated=[array([0.16203032, 0.38      ]), array([0.57763536, 0.342     ]), array([0.36613491, 0.391     ]), [0, 1], [0, 1]])

Buyer(budget=48.42, needs=0.61, best_offers=[[3.725, 0.16744293742796548, 0.32], [2.065, 0.5004150075206081, 0.31], [5.797, 0.33360867495010116, 0.22]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 88, 5, 54, 100, 5, 5], day_calories=0, estimated=[array([0.1854193 , 0.41592625]), array([0.57763536, 0.342     ]), array([0.36613491, 0.391     ]), [0, 1], [0, 1]])

Buyer(budget=49.26, needs=0.71, best_offers=[[3.725, 0.16744293742796548, 0.32], [2.065, 0.5004150075206081, 0.31], [5.797, 0.33360867495010116, 0.22]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 98, 15, 64, 100, 5, 5], day_calories=800, estimated=[array([0.1854193 , 0.41592625]), array([0.57763536, 0.342     ]), array([0.36613491, 0.391     ]), [0, 1], [0, 1]])

