Buyer(budget=69.08, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=70.53, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=72.14, needs=0.15, best_offers=[[15.108, 0.16744293742796548, 0.32], [34.916, 0.45151601095416244, 0.4], [-0.182, 0.2936468556873092, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 28, 18, 5, 5, 5], day_calories=2530, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=73.61, needs=0.25, best_offers=[[15.108, 0.16744293742796548, 0.32], [34.916, 0.45151601095416244, 0.4], [1.473, 0.2926946134885004, 0.21]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 48, 18, 5, 5, 5], day_calories=1830, estimated=[array([0.16681321, 0.31      ]), array([0.45151601, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=74.65, needs=0.35, best_offers=[[15.108, 0.16744293742796548, 0.32], [34.916, 0.45151601095416244, 0.4], [1.473, 0.2926946134885004, 0.21]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 65, 18, 5, 5, 5], day_calories=1430, estimated=[array([0.16681321, 0.31      ]), array([0.44609095, 0.38      ]), array([0.29269461, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=77.44, needs=0.45, best_offers=[[15.108, 0.16744293742796548, 0.32], [34.916, 0.45151601095416244, 0.4], [1.473, 0.2926946134885004, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 65, 28, 5, 5, 5], day_calories=2860, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29269461, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=81.33, needs=0.55, best_offers=[[15.108, 0.16744293742796548, 0.32], [34.916, 0.45151601095416244, 0.4], [1.473, 0.2926946134885004, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 75, 28, 5, 5, 5], day_calories=2860, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29269461, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=86.48, needs=0.65, best_offers=[[15.108, 0.16744293742796548, 0.32], [34.916, 0.45151601095416244, 0.4], [1.473, 0.2926946134885004, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 85, 28, 5, 5, 5], day_calories=2860, estimated=[array([0.16681321, 0.31      ]), array([0.46060354, 0.43      ]), array([0.29269461, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=90.64, needs=0.75, best_offers=[[15.108, 0.16744293742796548, 0.32], [34.916, 0.45151601095416244, 0.4], [1.473, 0.2926946134885004, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 85, 38, 5, 5, 5], day_calories=2860, estimated=[array([0.16681321, 0.31      ]), array([0.46060354, 0.43      ]), array([0.29269461, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=96.68, needs=0.85, best_offers=[[15.108, 0.16744293742796548, 0.32], [34.916, 0.45151601095416244, 0.4], [1.473, 0.2926946134885004, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[25, 5, 5, 85, 38, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.46060354, 0.43      ]), array([0.29269461, 0.21      ]), [0, 1], [0, 1]])

