Buyer(budget=57.89, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=59.32, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 15], day_calories=0, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=59.23, needs=0.15, best_offers=[[11.23, 0.1581374999168262, 0.33], [25.26, 0.4615160109541624, 0.4], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 28], day_calories=3410, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=59.87, needs=0.25, best_offers=[[11.23, 0.1581374999168262, 0.33], [1.063, 0.4625803258285499, 0.404], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 48], day_calories=1430, estimated=[array([0.1581375, 0.33     ]), array([0.46151601, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=59.57, needs=0.35, best_offers=[[0.434, 0.15886595382620533, 0.34], [0.664, 0.4615438251786105, 0.4], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 55], day_calories=3410, estimated=[array([0.1581375, 0.33     ]), array([0.46151601, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=60.21, needs=0.45, best_offers=[[0.321, 0.1615838477317702, 0.374], [0.664, 0.4615438251786105, 0.4], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 69], day_calories=3410, estimated=[array([0.15886595, 0.34      ]), array([0.46258033, 0.404     ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=62.24, needs=0.55, best_offers=[[0.323, 0.1604339754958401, 0.36], [0.664, 0.4615438251786105, 0.4], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 79], day_calories=550, estimated=[array([0.16158385, 0.374     ]), array([0.48063641, 0.46      ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=63.94, needs=0.65, best_offers=[[0.383, 0.16124155399193413, 0.37], [1.004, 0.5001567205803191, 0.51], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 92], day_calories=2530, estimated=[array([0.16158385, 0.374     ]), array([0.48063641, 0.46      ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=67.25, needs=0.75, best_offers=[[0.387, 0.16641689324746967, 0.4255], [1.004, 0.5001567205803191, 0.51], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 100], day_calories=550, estimated=[array([0.16158385, 0.374     ]), array([0.50015672, 0.51      ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=70.03, needs=0.85, best_offers=[[0.387, 0.16641689324746967, 0.4255], [1.004, 0.5001567205803191, 0.51], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 100], day_calories=550, estimated=[array([0.16641689, 0.4255    ]), array([0.50015672, 0.51      ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

