Buyer(budget=41.25, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), [0, 1]])

Buyer(budget=42.25, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), [0, 1]])

Buyer(budget=43.4, needs=0.15, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 25, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), [0, 1]])

Buyer(budget=45.29, needs=0.25, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [0.631, 0.7217059221478751, 0.27]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 35, 5, 5, 5, 5], day_calories=3640, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), [0, 1]])

Buyer(budget=48.81, needs=0.35, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [2.131, 0.7346236756737441, 0.28]], product_found=[0, 0, 1, 1, 0], plan=[], loyalty=[5, 5, 5, 48, 5, 5, 5, 5], day_calories=1820, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), [0, 1]])

Buyer(budget=50.74, needs=0.45, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [2.131, 0.7346236756737441, 0.28]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 58, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.73462368, 0.28      ]), [0, 1]])

Buyer(budget=51.24, needs=0.55, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [2.64, 0.7606424133301394, 0.40249999999999997]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 15, 68, 5, 5, 5, 5], day_calories=3640, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.73462368, 0.28      ]), [0, 1]])

Buyer(budget=52.66, needs=0.65, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [2.64, 0.7606424133301394, 0.40249999999999997]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 25, 78, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.76064241, 0.4025    ]), [0, 1]])

Buyer(budget=53.35, needs=0.75, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [2.64, 0.7606424133301394, 0.40249999999999997]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 15, 35, 78, 5, 5, 5, 5], day_calories=3640, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.76064241, 0.4025    ]), [0, 1]])

Buyer(budget=53.93, needs=0.85, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [2.64, 0.7606424133301394, 0.40249999999999997]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 25, 45, 78, 5, 5, 5, 5], day_calories=1820, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.84934004, 0.4       ]), [0, 1]])

