Buyer(budget=41.04, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=42.21, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=43.23, needs=0.15, best_offers=[[4.323, 0.16327134743372518, 0.25], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 28, 5, 5, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=44.77, needs=0.25, best_offers=[[4.323, 0.16327134743372518, 0.25], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 38, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=43.88, needs=0.35, best_offers=[[4.323, 0.16327134743372518, 0.25], [1.087, 0.458803437095888, 0.39], [1.223, 0.33586895806392536, 0.39], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 58, 5, 5, 5, 5, 5, 5], day_calories=3430, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=45.55, needs=0.45, best_offers=[[0.375, 0.164655430522536, 0.275], [1.087, 0.458803437095888, 0.39], [1.223, 0.33586895806392536, 0.39], [-0.487, 0.8305474197519257, 0.38]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 68, 5, 5, 5, 5, 5, 5], day_calories=1900, estimated=[array([0.16327135, 0.25      ]), array([0.45897466, 0.39      ]), array([0.33586896, 0.39      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=48.76, needs=0.55, best_offers=[[0.375, 0.164655430522536, 0.275], [1.135, 0.4771605252897767, 0.45], [1.223, 0.33586895806392536, 0.39], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 88, 5, 5, 5, 5, 5, 5], day_calories=2630, estimated=[array([0.16327135, 0.25      ]), array([0.45897466, 0.39      ]), array([0.3377875, 0.4      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=50.02, needs=0.65, best_offers=[[0.375, 0.164655430522536, 0.275], [1.135, 0.4771605252897767, 0.45], [1.223, 0.33586895806392536, 0.39], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 88, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16327135, 0.25      ]), array([0.47716053, 0.45      ]), array([0.3377875, 0.4      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=52.37, needs=0.75, best_offers=[[0.212, 0.16381083778756955, 0.26], [1.135, 0.4771605252897767, 0.45], [1.223, 0.33586895806392536, 0.39], [-0.487, 0.8305474197519257, 0.38]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 95, 5, 5, 5, 5, 5, 5], day_calories=3300, estimated=[array([0.16465543, 0.275     ]), array([0.47716053, 0.45      ]), array([0.3377875, 0.4      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=56.81, needs=0.85, best_offers=[[0.212, 0.16381083778756955, 0.26], [1.135, 0.4771605252897767, 0.45], [1.223, 0.33586895806392536, 0.39], [-0.487, 0.8305474197519257, 0.38]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 100, 5, 5, 5, 5, 5, 5], day_calories=1500, estimated=[array([0.16465543, 0.275     ]), array([0.47716053, 0.45      ]), array([0.34167494, 0.42      ]), array([0.83054742, 0.38      ]), [0, 1]])

