Buyer(budget=40.12, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=40.81, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=40.68, needs=0.15, best_offers=[[4.616, 0.18120355229911989, 0.37], [8.283, 0.5588320903296438, 0.35], [-0.182, 0.2936468556873092, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 28, 5, 18, 5, 5], day_calories=2530, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=42.36, needs=0.25, best_offers=[[4.616, 0.18120355229911989, 0.37], [8.283, 0.5588320903296438, 0.35], [-0.182, 0.2936468556873092, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 48, 5, 31, 5, 5], day_calories=1980, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=44.58, needs=0.35, best_offers=[[4.616, 0.18120355229911989, 0.37], [8.283, 0.5588320903296438, 0.35], [1.186, 0.3592347405693904, 0.35]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 65, 5, 44, 5, 5], day_calories=800, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=43.92, needs=0.45, best_offers=[[4.616, 0.18120355229911989, 0.37], [8.283, 0.5588320903296438, 0.35], [1.683, 0.35779350314150604, 0.34]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 75, 5, 64, 5, 5], day_calories=4060, estimated=[array([0.16681321, 0.31      ]), array([0.55883209, 0.35      ]), array([0.35923474, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=44.23, needs=0.55, best_offers=[[4.616, 0.18120355229911989, 0.37], [0.853, 0.5776353615299892, 0.34199999999999997], [1.136, 0.3661349146643526, 0.391]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 75, 5, 75, 5, 5], day_calories=3260, estimated=[array([0.16681321, 0.31      ]), array([0.55883209, 0.35      ]), array([0.35923474, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=46.47, needs=0.65, best_offers=[[4.616, 0.18120355229911989, 0.37], [0.853, 0.5776353615299892, 0.34199999999999997], [1.136, 0.3661349146643526, 0.391]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 85, 5, 88, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.57763536, 0.342     ]), array([0.36613491, 0.391     ]), [0, 1], [0, 1]])

Buyer(budget=47.93, needs=0.55, best_offers=[[4.616, 0.18120355229911989, 0.37], [0.896, 0.43855122657868023, 0.3485], [1.136, 0.3661349146643526, 0.391]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 95, 5, 98, 5, 5], day_calories=2860, estimated=[array([0.16681321, 0.31      ]), array([0.57763536, 0.342     ]), array([0.36613491, 0.391     ]), [0, 1], [0, 1]])

Buyer(budget=48.46, needs=0.65, best_offers=[[4.616, 0.18120355229911989, 0.37], [0.896, 0.43855122657868023, 0.3485], [1.136, 0.3661349146643526, 0.391]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 100, 5, 100, 5, 5], day_calories=3030, estimated=[array([0.16681321, 0.31      ]), array([0.57763536, 0.342     ]), array([0.36613491, 0.391     ]), [0, 1], [0, 1]])

