Buyer(budget=37.1, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=36.89, needs=0.05, best_offers=[[3.869, 0.18205907090756646, 0.38], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 15, 5], day_calories=2200, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=38.16, needs=0.15, best_offers=[[3.869, 0.18205907090756646, 0.38], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 25, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=40.32, needs=0.25, best_offers=[[3.869, 0.18205907090756646, 0.38], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 45, 5], day_calories=1100, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=41.92, needs=0.35, best_offers=[[3.869, 0.18205907090756646, 0.38], [1.468, 0.46319614525171077, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 55, 5], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=42.29, needs=0.45, best_offers=[[3.869, 0.18205907090756646, 0.38], [1.539, 0.5713019264875203, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 15, 55, 5], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=44.37, needs=0.55, best_offers=[[3.869, 0.18205907090756646, 0.38], [1.539, 0.5713019264875203, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 15, 55, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.57130193, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=46.0, needs=0.65, best_offers=[[3.869, 0.18205907090756646, 0.38], [1.539, 0.5713019264875203, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 5, 25, 55, 5], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.57130193, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=47.96, needs=0.75, best_offers=[[3.869, 0.18205907090756646, 0.38], [1.539, 0.5713019264875203, 0.36], [0.143, 0.3381115929850566, 0.16575]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 5, 25, 65, 5], day_calories=800, estimated=[array([0.18390881, 0.4       ]), array([0.57130193, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=49.94, needs=0.85, best_offers=[[3.869, 0.18205907090756646, 0.38], [1.539, 0.5713019264875203, 0.36], [0.143, 0.3381115929850566, 0.16575]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 5, 35, 75, 5], day_calories=800, estimated=[array([0.18390881, 0.4       ]), array([0.57130193, 0.36      ]), array([0.33811159, 0.16575   ]), [0, 1], [0, 1]])

