Buyer(budget=151.61, needs=0.05, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=137.98, needs=0.05, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=151.66, needs=0.05, best_offers=[[-0.031, 0.18204785917795752, 0.38], [-0.184, 0.4911747326313196, 0.36], [-0.151, 0.35636303311321194, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2530, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=160.2, needs=0.05, best_offers=[[-0.031, 0.18204785917795752, 0.38], [-0.184, 0.4911747326313196, 0.36], [-0.151, 0.35636303311321194, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=550, estimated=[array([0.18044557, 0.36      ]), array([0.49117473, 0.36      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=165.42, needs=0.05, best_offers=[[-0.031, 0.18204785917795752, 0.38], [-0.184, 0.4911747326313196, 0.36], [-0.151, 0.35636303311321194, 0.33]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.18044557, 0.36      ]), array([0.49117473, 0.36      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=196.25, needs=0.05, best_offers=[[-0.031, 0.18204785917795752, 0.38], [-0.137, 0.4545398320042938, 0.41], [-0.151, 0.35636303311321194, 0.33]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.18044557, 0.36      ]), array([0.49234509, 0.32      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=175.14, needs=0.05, best_offers=[[-0.031, 0.18204785917795752, 0.38], [-0.137, 0.4545398320042938, 0.41], [-0.151, 0.35636303311321194, 0.33]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.18044557, 0.36      ]), array([0.49234509, 0.32      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=202.04, needs=0.05, best_offers=[[-0.031, 0.18204785917795752, 0.38], [-0.137, 0.4545398320042938, 0.41], [-0.151, 0.35636303311321194, 0.33]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.18044557, 0.36      ]), array([0.49234509, 0.32      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=225.82, needs=0.05, best_offers=[[-0.023, 0.18988356191321265, 0.45751887500000005], [-0.132, 0.45742473952609924, 0.42], [-0.151, 0.35636303311321194, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4840, estimated=[array([0.18044557, 0.36      ]), array([0.49234509, 0.32      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=269.16, needs=0.05, best_offers=[[-0.023, 0.18988356191321265, 0.45751887500000005], [-0.127, 0.46051020038677565, 0.43], [-0.151, 0.35636303311321194, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=3410, estimated=[array([0.18044557, 0.36      ]), array([0.49234509, 0.32      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

