Buyer(budget=38.19, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=550, estimated=[array([0.14818152, 0.33      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=38.42, needs=0.05, best_offers=[[3.665, 0.14814550930660014, 0.33]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 5, 5, 5, 5, 5], day_calories=2750, estimated=[array([0.14818152, 0.33      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=38.49, needs=0.15, best_offers=[[3.52, 0.14961069677654792, 0.35]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[22, 5, 5, 5, 5, 5, 5, 5], day_calories=2200, estimated=[array([0.14818152, 0.33      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=38.66, needs=0.25, best_offers=[[3.52, 0.14961069677654792, 0.35]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[32, 5, 5, 5, 5, 5, 5, 5], day_calories=2200, estimated=[array([0.1496107, 0.35     ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=38.58, needs=0.35, best_offers=[[3.52, 0.14961069677654792, 0.35]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[42, 5, 5, 5, 5, 5, 5, 5], day_calories=2200, estimated=[array([0.1496107, 0.35     ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=39.83, needs=0.45, best_offers=[[0.195, 0.15044434881761354, 0.36]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[49, 5, 5, 5, 5, 5, 5, 5], day_calories=2200, estimated=[array([0.15154516, 0.374     ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=41.15, needs=0.49, best_offers=[[0.424, 0.15523831159114065, 0.414]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[59, 5, 5, 5, 5, 5, 5, 5], day_calories=2200, estimated=[array([0.15154516, 0.374     ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=41.07, needs=0.59, best_offers=[[0.556, 0.15688605645356518, 0.43]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[69, 5, 5, 5, 5, 5, 5, 5], day_calories=2200, estimated=[array([0.15523831, 0.414     ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=43.31, needs=0.69, best_offers=[[0.556, 0.15688605645356518, 0.43]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[69, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.15688606, 0.43      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=43.51, needs=0.79, best_offers=[[0.556, 0.15688605645356518, 0.43]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[79, 5, 15, 5, 5, 5, 5, 5], day_calories=2750, estimated=[array([0.15688606, 0.43      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

