Buyer(budget=235.43, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27], [-1.627, 1.7344556920841043, 0.36]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=238.65, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27], [-1.627, 1.7344556920841043, 0.36]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 15], day_calories=0, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=222.11, needs=0.15, best_offers=[[3.753, 0.1581374999168262, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27], [14.047, 1.7704785917795751, 0.38]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 26], day_calories=3800, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=213.91, needs=0.25, best_offers=[[3.753, 0.1581374999168262, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27], [14.047, 1.7704785917795751, 0.38]], product_found=[1, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 39], day_calories=0, estimated=[array([0.1581375, 0.33     ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=204.65, needs=0.35, best_offers=[[3.753, 0.1581374999168262, 0.33], [1.443, 0.4615438251786105, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27], [14.047, 1.7704785917795751, 0.38]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 52], day_calories=1430, estimated=[array([0.1581375, 0.33     ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=203.97, needs=0.45, best_offers=[[0.407, 0.1615838477317702, 0.374], [1.443, 0.4615438251786105, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27], [14.047, 1.7704785917795751, 0.38]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 62], day_calories=1980, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=197.02, needs=0.55, best_offers=[[0.407, 0.1615838477317702, 0.374], [1.306, 0.48916610787275516, 0.48300000000000004], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27], [14.047, 1.7704785917795751, 0.38]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 72], day_calories=1430, estimated=[array([0.16158385, 0.374     ]), array([0.48063641, 0.46      ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=192.32, needs=0.65, best_offers=[[0.498, 0.16124155399193413, 0.37], [1.375, 0.5001567205803191, 0.51], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27], [14.047, 1.7704785917795751, 0.38]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 85], day_calories=1980, estimated=[array([0.16158385, 0.374     ]), array([0.48916611, 0.483     ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=190.4, needs=0.75, best_offers=[[0.498, 0.16124155399193413, 0.37], [1.375, 0.5001567205803191, 0.51], [-0.148, 0.31233635032886786, 0.3], [0.113, 0.6990541889378478, 0.26], [14.047, 1.7704785917795751, 0.38]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 95], day_calories=1820, estimated=[array([0.16158385, 0.374     ]), array([0.50015672, 0.51      ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=185.14, needs=0.85, best_offers=[[0.498, 0.16124155399193413, 0.37], [1.375, 0.5001567205803191, 0.51], [-0.148, 0.31233635032886786, 0.3], [0.113, 0.6990541889378478, 0.26], [14.047, 1.7704785917795751, 0.38]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 95], day_calories=0, estimated=[array([0.16158385, 0.374     ]), array([0.50015672, 0.51      ]), array([0.31233635, 0.3       ]), array([0.69905419, 0.26      ]), array([1.73445569, 0.36      ])])

