Buyer(budget=36.09, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31], [-1.472, 1.4490687730179332, 0.34]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=33.87, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31], [-1.472, 1.4490687730179332, 0.34]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=36.58, needs=0.15, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31], [-1.472, 1.4490687730179332, 0.34]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[32, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=37.97, needs=0.25, best_offers=[[1.254, 0.14884629353892487, 0.34], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [2.77, 0.7971562521888783, 0.32], [-1.472, 1.4490687730179332, 0.34]], product_found=[1, 0, 0, 1, 0], plan=[], loyalty=[45, 5, 5, 5, 5, 5, 5, 5], day_calories=2920, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=39.33, needs=0.35, best_offers=[[1.299, 0.15154515602361815, 0.374], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [2.77, 0.7971562521888783, 0.32], [-1.472, 1.4490687730179332, 0.34]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[65, 5, 5, 5, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=43.24, needs=0.45, best_offers=[[1.299, 0.15154515602361815, 0.374], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [2.77, 0.7971562521888783, 0.32], [-1.472, 1.4490687730179332, 0.34]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[85, 5, 5, 5, 5, 5, 5, 5], day_calories=550, estimated=[array([0.15154516, 0.374     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=47.86, needs=0.55, best_offers=[[1.299, 0.15154515602361815, 0.374], [0.777, 0.40279052768626394, 0.2], [-0.173, 0.317652359929688, 0.26], [2.77, 0.7971562521888783, 0.32], [-1.472, 1.4490687730179332, 0.34]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[95, 5, 5, 5, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.15154516, 0.374     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=53.89, needs=0.65, best_offers=[[1.299, 0.15154515602361815, 0.374], [0.785, 0.4015274473399095, 0.19], [-0.173, 0.317652359929688, 0.26], [2.77, 0.7971562521888783, 0.32], [-1.472, 1.4490687730179332, 0.34]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[100, 5, 5, 5, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.15154516, 0.374     ]), array([0.40279053, 0.2       ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=59.13, needs=0.75, best_offers=[[1.299, 0.15154515602361815, 0.374], [0.785, 0.4015274473399095, 0.19], [-0.173, 0.317652359929688, 0.26], [2.77, 0.7971562521888783, 0.32], [-1.472, 1.4490687730179332, 0.34]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[100, 5, 5, 5, 5, 5, 5, 5], day_calories=1650, estimated=[array([0.15907412, 0.45      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=65.64, needs=0.85, best_offers=[[1.299, 0.15154515602361815, 0.374], [0.785, 0.4015274473399095, 0.19], [-0.173, 0.317652359929688, 0.26], [2.77, 0.7971562521888783, 0.32], [-1.472, 1.4490687730179332, 0.34]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[100, 5, 5, 5, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.15907412, 0.45      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

