Buyer(budget=46.0, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=47.03, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=45.85, needs=0.15, best_offers=[[7.267, 0.18204785917795752, 0.38], [-0.251, 0.4054702835309638, 0.22], [9.672, 0.3416652872476632, 0.198]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[28, 5, 5, 5, 5, 5, 22, 5], day_calories=2550, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=46.1, needs=0.25, best_offers=[[0.484, 0.18381870672462275, 0.4], [-0.251, 0.4054702835309638, 0.22], [9.672, 0.3416652872476632, 0.198]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[38, 5, 5, 5, 5, 5, 39, 5], day_calories=1100, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=45.04, needs=0.17, best_offers=[[0.484, 0.18381870672462275, 0.4], [0.309, 0.46319614525171077, 0.36], [0.344, 0.35270923325703707, 0.21]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[55, 5, 5, 5, 5, 5, 63, 5], day_calories=2630, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.34166529, 0.198     ]), [0, 1], [0, 1]])

Buyer(budget=46.8, needs=0.07, best_offers=[[0.484, 0.18381870672462275, 0.4], [0.309, 0.46319614525171077, 0.36], [0.344, 0.35270923325703707, 0.21]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[55, 5, 5, 5, 5, 5, 73, 5], day_calories=550, estimated=[array([0.18381871, 0.4       ]), array([0.46319615, 0.36      ]), array([0.34166529, 0.198     ]), [0, 1], [0, 1]])

Buyer(budget=46.46, needs=0.05, best_offers=[[1.004, 0.18253253278143833, 0.38499999999999995], [1.424, 0.4662887512175652, 0.38], [0.344, 0.35270923325703707, 0.21]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[55, 5, 5, 5, 5, 5, 90, 5], day_calories=4510, estimated=[array([0.18381871, 0.4       ]), array([0.46319615, 0.36      ]), array([0.34166529, 0.198     ]), [0, 1], [0, 1]])

Buyer(budget=46.79, needs=0.15, best_offers=[[1.004, 0.18253253278143833, 0.38499999999999995], [1.424, 0.4662887512175652, 0.38], [0.344, 0.35270923325703707, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[65, 5, 5, 5, 5, 5, 90, 5], day_calories=0, estimated=[array([0.18381871, 0.4       ]), array([0.46628875, 0.38      ]), array([0.34166529, 0.198     ]), [0, 1], [0, 1]])

Buyer(budget=47.71, needs=0.25, best_offers=[[1.004, 0.18253253278143833, 0.38499999999999995], [1.424, 0.4662887512175652, 0.38], [0.409, 0.31554510609826725, 0.24]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[75, 5, 5, 15, 5, 5, 100, 5], day_calories=2050, estimated=[array([0.18381871, 0.4       ]), array([0.46628875, 0.38      ]), array([0.35270923, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=46.7, needs=0.24, best_offers=[[1.004, 0.18253253278143833, 0.38499999999999995], [1.424, 0.4662887512175652, 0.38], [0.68, 0.2710112522993819, 0.19]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[75, 5, 15, 15, 5, 5, 100, 5], day_calories=3200, estimated=[array([0.18585458, 0.42      ]), array([0.46628875, 0.38      ]), array([0.35270923, 0.21      ]), [0, 1], [0, 1]])

