Person(name=John Smith, budget=33.5, starvation=3200, age=18.1, satisfaction=-1.87, jobs=['MilkMaker(name=John Smith, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.68], memory_salary=[5.18], birth=1, workaholic=0.14, needs=0.05

Person(name=John Smith, budget=33.52, starvation=3400, age=18.200000000000003, satisfaction=6.58, jobs=['MilkMaker(name=John Smith, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.68 0.64], memory_salary=[5.18 0.67], birth=2, workaholic=0.14, needs=0.15000000000000002

Person(name=John Smith, budget=34.13, starvation=1950, age=18.300000000000004, satisfaction=7.7, jobs=['MilkMaker(name=John Smith, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.68 0.64 0.16], memory_salary=[5.18 0.67 0.77], birth=3, workaholic=0.14, needs=0.25

Person(name=John Smith, budget=34.03, starvation=2810, age=18.400000000000006, satisfaction=7.06, jobs=['MilkMaker(name=John Smith, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.68 0.64 0.16 0.98], memory_salary=[5.18 0.67 0.77 0.88], birth=4, workaholic=0.14, needs=0.35

Person(name=John Smith, budget=34.24, starvation=2240, age=18.500000000000007, satisfaction=6.15, jobs=['MilkMaker(name=John Smith, job_satisfied=0.86, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.68 0.64 0.16 0.98 0.49], memory_salary=[5.18 0.67 0.77 0.88 0.71], birth=5, workaholic=0.14, needs=0.44999999999999996

Person(name=John Smith, budget=34.71, starvation=2690, age=18.60000000000001, satisfaction=6.13, jobs=['MilkMaker(name=John Smith, job_satisfied=0.96, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.64 0.16 0.98 0.49 1.02], memory_salary=[0.67 0.77 0.88 0.71 1.49], birth=6, workaholic=0.14, needs=0.51

Person(name=John Smith, budget=36.49, starvation=690, age=18.70000000000001, satisfaction=4.83, jobs=['MilkMaker(name=John Smith, job_satisfied=0.98, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.16 0.98 0.49 1.02 0.  ], memory_salary=[0.77 0.88 0.71 1.49 1.78], birth=7, workaholic=0.14, needs=0.61

Person(name=John Smith, budget=38.01, starvation=-1310, age=18.80000000000001, satisfaction=3.47, jobs=['MilkMaker(name=John Smith, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.98 0.49 1.02 0.   0.  ], memory_salary=[0.88 0.71 1.49 1.78 1.52], birth=8, workaholic=0.14, needs=0.71

Person(name=John Smith, budget=37.38, starvation=-450, age=18.900000000000013, satisfaction=2.55, jobs=['BreadMaker(name=John Smith, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.49 1.02 0.   0.   1.23], memory_salary=[0.71 1.49 1.78 1.52 0.6 ], birth=9, workaholic=0.14, needs=0.8099999999999999

Person(name=John Smith, budget=38.08, starvation=-1020, age=19.000000000000014, satisfaction=1.15, jobs=['MeatMaker(name=John Smith, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.02 0.   0.   1.23 0.48], memory_salary=[1.49 1.78 1.52 0.6  1.18], birth=10, workaholic=0.14, needs=0.9099999999999999

