Person(name=Josh Martin, budget=108.32, starvation=1380, age=18.1, satisfaction=-1.39, jobs=['CerealMaker(name=Josh Martin, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91], memory_salary=[79.23], birth=29, workaholic=0.36, needs=0.05

Person(name=Josh Martin, budget=108.81, starvation=-620, age=18.200000000000003, satisfaction=-2.46, jobs=['CerealMaker(name=Josh Martin, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91 0.  ], memory_salary=[79.23  0.49], birth=30, workaholic=0.36, needs=0.15000000000000002

Person(name=Josh Martin, budget=109.21, starvation=-90, age=18.300000000000004, satisfaction=122.65, jobs=['PieMaker(name=Josh Martin, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91 0.   0.79], memory_salary=[79.23  0.49  1.19], birth=31, workaholic=0.36, needs=0.25

Person(name=Josh Martin, budget=117.1, starvation=-660, age=18.400000000000006, satisfaction=122.01, jobs=['PieMaker(name=Josh Martin, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91 0.   0.79 0.45], memory_salary=[79.23  0.49  1.19  8.33], birth=32, workaholic=0.36, needs=0.35

Person(name=Josh Martin, budget=123.86, starvation=200, age=18.500000000000007, satisfaction=130.74, jobs=['PieMaker(name=Josh Martin, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91 0.   0.79 0.45 0.91], memory_salary=[79.23  0.49  1.19  8.33  7.67], birth=33, workaholic=0.36, needs=0.44999999999999996

Person(name=Josh Martin, budget=125.64, starvation=-1800, age=18.60000000000001, satisfaction=129.46, jobs=['PieMaker(name=Josh Martin, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.79 0.45 0.91 0.  ], memory_salary=[0.49 1.19 8.33 7.67 1.78], birth=34, workaholic=0.36, needs=0.5499999999999999

Person(name=Josh Martin, budget=127.75, starvation=-1050, age=18.70000000000001, satisfaction=133.39, jobs=['PieMaker(name=Josh Martin, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.79 0.45 0.91 0.   0.83], memory_salary=[1.19 8.33 7.67 1.78 2.94], birth=35, workaholic=0.36, needs=0.6499999999999999

Person(name=Josh Martin, budget=130.64, starvation=-520, age=18.80000000000001, satisfaction=133.25, jobs=['PieMaker(name=Josh Martin, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.45 0.91 0.   0.83 0.83], memory_salary=[8.33 7.67 1.78 2.94 3.72], birth=36, workaholic=0.36, needs=0.7499999999999999

Person(name=Josh Martin, budget=133.49, starvation=330, age=18.900000000000013, satisfaction=133.56, jobs=['PieMaker(name=Josh Martin, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91 0.   0.83 0.83 1.28], memory_salary=[7.67 1.78 2.94 3.72 4.13], birth=37, workaholic=0.36, needs=0.8499999999999999

Person(name=Josh Martin, budget=136.58, starvation=860, age=19.000000000000014, satisfaction=133.4, jobs=['PieMaker(name=Josh Martin, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.83 0.83 1.28 0.8 ], memory_salary=[1.78 2.94 3.72 4.13 3.89], birth=38, workaholic=0.36, needs=0.9499999999999998

