Person(name=John Simpson, budget=33.84, starvation=3200, age=18.1, satisfaction=-1.98, jobs=['MilkMaker(name=John Simpson, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.63], memory_salary=[5.47], birth=5, workaholic=0.72, needs=0.05

Person(name=John Simpson, budget=34.85, starvation=1200, age=18.200000000000003, satisfaction=-3.05, jobs=['MilkMaker(name=John Simpson, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.63 0.  ], memory_salary=[5.47 1.01], birth=6, workaholic=0.72, needs=0.15000000000000002

Person(name=John Simpson, budget=35.85, starvation=-250, age=18.300000000000004, satisfaction=-1.87, jobs=['MilkMaker(name=John Simpson, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.63 0.   0.16], memory_salary=[5.47 1.01 1.16], birth=7, workaholic=0.72, needs=0.25

Person(name=John Simpson, budget=35.56, starvation=1390, age=18.400000000000006, satisfaction=-2.0, jobs=['MilkMaker(name=John Simpson, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.63 0.   0.16 1.62], memory_salary=[5.47 1.01 1.16 1.33], birth=8, workaholic=0.72, needs=0.35

Person(name=John Simpson, budget=34.84, starvation=1390, age=18.500000000000007, satisfaction=1.2, jobs=['MilkMaker(name=John Simpson, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.63 0.   0.16 1.62 1.8 ], memory_salary=[5.47 1.01 1.16 1.33 1.07], birth=9, workaholic=0.72, needs=0.44999999999999996

Person(name=John Simpson, budget=36.65, starvation=1040, age=18.60000000000001, satisfaction=1.3, jobs=['MilkMaker(name=John Simpson, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.16 1.62 1.8  0.48], memory_salary=[1.01 1.16 1.33 1.07 2.3 ], birth=10, workaholic=0.72, needs=0.35

Person(name=John Simpson, budget=39.13, starvation=-960, age=18.70000000000001, satisfaction=0.08, jobs=['MilkMaker(name=John Simpson, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.16 1.62 1.8  0.48 0.  ], memory_salary=[1.16 1.33 1.07 2.3  2.48], birth=11, workaholic=0.72, needs=0.44999999999999996

Person(name=John Simpson, budget=40.1, starvation=-100, age=18.80000000000001, satisfaction=3.17, jobs=['MilkMaker(name=John Simpson, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.62 1.8  0.48 0.   1.  ], memory_salary=[1.33 1.07 2.3  2.48 1.97], birth=12, workaholic=0.72, needs=0.5499999999999999

Person(name=John Simpson, budget=39.93, starvation=760, age=18.900000000000013, satisfaction=4.89, jobs=['MilkMaker(name=John Simpson, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.8  0.48 0.   1.   0.99], memory_salary=[1.07 2.3  2.48 1.97 0.82], birth=13, workaholic=0.72, needs=0.6499999999999999

Person(name=John Simpson, budget=41.36, starvation=-1240, age=19.000000000000014, satisfaction=3.51, jobs=['MilkMaker(name=John Simpson, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.48 0.   1.   0.99 0.  ], memory_salary=[2.3  2.48 1.97 0.82 1.43], birth=14, workaholic=0.72, needs=0.7499999999999999

