Person(name=Alex Martin, budget=125.84, starvation=1380, age=18.1, satisfaction=-1.35, jobs=['BreadMaker(name=Alex Martin, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95], memory_salary=[96.79], birth=25, workaholic=0.75, needs=0.05

Person(name=Alex Martin, budget=126.78, starvation=-620, age=18.200000000000003, satisfaction=-2.43, jobs=['BreadMaker(name=Alex Martin, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95 0.  ], memory_salary=[96.79  0.94], birth=26, workaholic=0.75, needs=0.15000000000000002

Person(name=Alex Martin, budget=127.0, starvation=-90, age=18.300000000000004, satisfaction=154.25, jobs=['BreadMaker(name=Alex Martin, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.86], memory_salary=[96.79  0.94  1.08], birth=27, workaholic=0.75, needs=0.25

Person(name=Alex Martin, budget=129.2, starvation=290, age=18.400000000000006, satisfaction=155.2, jobs=['BreadMaker(name=Alex Martin, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.86 0.96], memory_salary=[96.79  0.94  1.08  3.15], birth=28, workaholic=0.75, needs=0.35

Person(name=Alex Martin, budget=133.23, starvation=-1710, age=18.500000000000007, satisfaction=153.97, jobs=['BreadMaker(name=Alex Martin, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.86 0.96 0.  ], memory_salary=[96.79  0.94  1.08  3.15  4.03], birth=29, workaholic=0.75, needs=0.44999999999999996

Person(name=Alex Martin, budget=134.06, starvation=-850, age=18.60000000000001, satisfaction=156.9, jobs=['BreadMaker(name=Alex Martin, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.86 0.96 0.   1.  ], memory_salary=[0.94 1.08 3.15 4.03 1.83], birth=30, workaholic=0.75, needs=0.5499999999999999

Person(name=Alex Martin, budget=135.77, starvation=10, age=18.70000000000001, satisfaction=157.18, jobs=['BreadMaker(name=Alex Martin, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.86 0.96 0.   1.   0.81], memory_salary=[1.08 3.15 4.03 1.83 2.52], birth=31, workaholic=0.75, needs=0.6499999999999999

Person(name=Alex Martin, budget=138.84, starvation=-1990, age=18.80000000000001, satisfaction=155.8, jobs=['MilkMaker(name=Alex Martin, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.96 0.   1.   0.81 0.  ], memory_salary=[3.15 4.03 1.83 2.52 3.07], birth=32, workaholic=0.75, needs=0.7499999999999999

Person(name=Alex Martin, budget=139.57, starvation=300, age=18.900000000000013, satisfaction=157.98, jobs=['MilkMaker(name=Alex Martin, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.   0.81 0.   1.53], memory_salary=[4.03 1.83 2.52 3.07 2.26], birth=33, workaholic=0.75, needs=0.8499999999999999

Person(name=Alex Martin, budget=140.93, starvation=-1700, age=19.000000000000014, satisfaction=156.51, jobs=['MilkMaker(name=Alex Martin, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.   0.81 0.   1.53 0.  ], memory_salary=[1.83 2.52 3.07 2.26 1.36], birth=34, workaholic=0.75, needs=0.9499999999999998

