Person(name=Bob Brown, budget=51.12, starvation=1380, age=18.1, satisfaction=-1.46, jobs=['CerealMaker(name=Bob Brown, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.02], memory_salary=[22.14], birth=39, workaholic=0.96, needs=0.05

Person(name=Bob Brown, budget=51.83, starvation=-620, age=18.200000000000003, satisfaction=-2.53, jobs=['BreadMaker(name=Bob Brown, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.02 0.  ], memory_salary=[22.14  0.71], birth=40, workaholic=0.96, needs=0.15000000000000002

Person(name=Bob Brown, budget=52.34, starvation=790, age=18.300000000000004, satisfaction=40.52, jobs=['BreadMaker(name=Bob Brown, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.02 0.   1.16], memory_salary=[22.14  0.71  1.67], birth=41, workaholic=0.96, needs=0.25

Person(name=Bob Brown, budget=52.9, starvation=1170, age=18.400000000000006, satisfaction=41.71, jobs=['BreadMaker(name=Bob Brown, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.02 0.   1.16 1.01], memory_salary=[22.14  0.71  1.67  1.57], birth=42, workaholic=0.96, needs=0.35

Person(name=Bob Brown, budget=52.81, starvation=2580, age=18.500000000000007, satisfaction=43.6, jobs=['BreadMaker(name=Bob Brown, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.02 0.   1.16 1.01 1.11], memory_salary=[22.14  0.71  1.67  1.57  1.02], birth=43, workaholic=0.96, needs=0.44999999999999996

Person(name=Bob Brown, budget=55.57, starvation=580, age=18.60000000000001, satisfaction=42.32, jobs=['MeatMaker(name=Bob Brown, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   1.16 1.01 1.11 0.  ], memory_salary=[0.71 1.67 1.57 1.02 2.76], birth=44, workaholic=0.96, needs=0.5499999999999999

Person(name=Bob Brown, budget=56.5, starvation=1440, age=18.70000000000001, satisfaction=42.76, jobs=['MeatMaker(name=Bob Brown, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.16 1.01 1.11 0.   0.93], memory_salary=[1.67 1.57 1.02 2.76 1.86], birth=45, workaholic=0.96, needs=0.6499999999999999

Person(name=Bob Brown, budget=56.09, starvation=2300, age=18.80000000000001, satisfaction=43.06, jobs=['MeatMaker(name=Bob Brown, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.01 1.11 0.   0.93 0.94], memory_salary=[1.57 1.02 2.76 1.86 0.53], birth=46, workaholic=0.96, needs=0.7499999999999999

Person(name=Bob Brown, budget=57.7, starvation=300, age=18.900000000000013, satisfaction=41.64, jobs=['MeatMaker(name=Bob Brown, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.11 0.   0.93 0.94 0.  ], memory_salary=[1.02 2.76 1.86 0.53 1.61], birth=47, workaholic=0.96, needs=0.8499999999999999

Person(name=Bob Brown, budget=59.42, starvation=280, age=19.000000000000014, satisfaction=40.36, jobs=['MeatMaker(name=Bob Brown, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.93 0.94 0.   0.64], memory_salary=[2.76 1.86 0.53 1.61 2.36], birth=48, workaholic=0.96, needs=0.9499999999999998

