Person(name=Sam Brown, budget=69.08, starvation=1380, age=18.1, satisfaction=-1.39, jobs=['BreadMaker(name=Sam Brown, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.91], memory_salary=[39.99], birth=40, workaholic=0.67, needs=0.05

Person(name=Sam Brown, budget=70.53, starvation=-620, age=18.200000000000003, satisfaction=-2.46, jobs=['BreadMaker(name=Sam Brown, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.91 0.  ], memory_salary=[39.99  1.45], birth=41, workaholic=0.67, needs=0.15000000000000002

Person(name=Sam Brown, budget=72.14, starvation=-90, age=18.300000000000004, satisfaction=61.54, jobs=['BreadMaker(name=Sam Brown, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.91 0.   0.79], memory_salary=[39.99  1.45  2.4 ], birth=42, workaholic=0.67, needs=0.25

Person(name=Sam Brown, budget=73.61, starvation=-260, age=18.400000000000006, satisfaction=63.84, jobs=['BreadMaker(name=Sam Brown, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.91 0.   0.79 0.74], memory_salary=[39.99  1.45  2.4   2.21], birth=43, workaholic=0.67, needs=0.35

Person(name=Sam Brown, budget=74.65, starvation=-830, age=18.500000000000007, satisfaction=64.62, jobs=['PieMaker(name=Sam Brown, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91 0.   0.79 0.74 0.45], memory_salary=[39.99  1.45  2.4   2.21  1.48], birth=44, workaholic=0.67, needs=0.44999999999999996

Person(name=Sam Brown, budget=77.44, starvation=30, age=18.60000000000001, satisfaction=64.71, jobs=['PieMaker(name=Sam Brown, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.79 0.74 0.45 0.81], memory_salary=[1.45 2.4  2.21 1.48 3.6 ], birth=45, workaholic=0.67, needs=0.5499999999999999

Person(name=Sam Brown, budget=81.33, starvation=890, age=18.70000000000001, satisfaction=66.39, jobs=['PieMaker(name=Sam Brown, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.79 0.74 0.45 0.81 0.92], memory_salary=[2.4  2.21 1.48 3.6  4.81], birth=46, workaholic=0.67, needs=0.6499999999999999

Person(name=Sam Brown, budget=86.48, starvation=1750, age=18.80000000000001, satisfaction=68.69, jobs=['PieMaker(name=Sam Brown, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.74 0.45 0.81 0.92 0.91], memory_salary=[2.21 1.48 3.6  4.81 6.06], birth=47, workaholic=0.67, needs=0.7499999999999999

Person(name=Sam Brown, budget=90.64, starvation=2610, age=18.900000000000013, satisfaction=70.7, jobs=['PieMaker(name=Sam Brown, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.45 0.81 0.92 0.91 0.91], memory_salary=[1.48 3.6  4.81 6.06 5.07], birth=48, workaholic=0.67, needs=0.8499999999999999

Person(name=Sam Brown, budget=96.68, starvation=610, age=19.000000000000014, satisfaction=69.22, jobs=['PieMaker(name=Sam Brown, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.81 0.92 0.91 0.91 0.  ], memory_salary=[3.6  4.81 6.06 5.07 6.04], birth=49, workaholic=0.67, needs=0.9499999999999998

