Person(name=Michael Smith, budget=46.63, starvation=1380, age=18.1, satisfaction=-1.44, jobs=['CerealMaker(name=Michael Smith, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93], memory_salary=[17.56], birth=11, workaholic=0.88, needs=0.05

Person(name=Michael Smith, budget=47.31, starvation=-620, age=18.200000000000003, satisfaction=-2.52, jobs=['CerealMaker(name=Michael Smith, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93 0.  ], memory_salary=[17.56  0.68], birth=12, workaholic=0.88, needs=0.15000000000000002

Person(name=Michael Smith, budget=48.01, starvation=790, age=18.300000000000004, satisfaction=23.37, jobs=['CerealMaker(name=Michael Smith, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93 0.   0.96], memory_salary=[17.56  0.68  1.65], birth=13, workaholic=0.88, needs=0.25

Person(name=Michael Smith, budget=50.73, starvation=770, age=18.400000000000006, satisfaction=23.51, jobs=['PieMaker(name=Michael Smith, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93 0.   0.96 0.55], memory_salary=[17.56  0.68  1.65  3.28], birth=14, workaholic=0.88, needs=0.35

Person(name=Michael Smith, budget=57.55, starvation=200, age=18.500000000000007, satisfaction=23.65, jobs=['PieMaker(name=Michael Smith, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93 0.   0.96 0.55 0.4 ], memory_salary=[17.56  0.68  1.65  3.28  7.22], birth=15, workaholic=0.88, needs=0.44999999999999996

Person(name=Michael Smith, budget=60.02, starvation=-1800, age=18.60000000000001, satisfaction=22.37, jobs=['PieMaker(name=Michael Smith, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.96 0.55 0.4  0.  ], memory_salary=[0.68 1.65 3.28 7.22 2.47], birth=16, workaholic=0.88, needs=0.5499999999999999

Person(name=Michael Smith, budget=62.75, starvation=490, age=18.70000000000001, satisfaction=29.49, jobs=['PieMaker(name=Michael Smith, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.96 0.55 0.4  0.   1.35], memory_salary=[1.65 3.28 7.22 2.47 4.08], birth=17, workaholic=0.88, needs=0.6499999999999999

Person(name=Michael Smith, budget=67.65, starvation=-1110, age=18.80000000000001, satisfaction=28.69, jobs=['PieMaker(name=Michael Smith, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.55 0.4  0.   1.35 0.27], memory_salary=[3.28 7.22 2.47 4.08 5.17], birth=18, workaholic=0.88, needs=0.7499999999999999

Person(name=Michael Smith, budget=71.42, starvation=-360, age=18.900000000000013, satisfaction=31.62, jobs=['PieMaker(name=Michael Smith, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.4  0.   1.35 0.27 0.8 ], memory_salary=[7.22 2.47 4.08 5.17 4.56], birth=19, workaholic=0.88, needs=0.8499999999999999

Person(name=Michael Smith, budget=76.5, starvation=-1260, age=19.000000000000014, satisfaction=31.27, jobs=['PieMaker(name=Michael Smith, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.35 0.27 0.8  0.32], memory_salary=[2.47 4.08 5.17 4.56 5.4 ], birth=20, workaholic=0.88, needs=0.9499999999999998

