Person(name=John Anderson, budget=83.67, starvation=1380, age=18.1, satisfaction=-1.48, jobs=['MilkMaker(name=John Anderson, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.87], memory_salary=[54.54], birth=34, workaholic=0.59, needs=0.05

Person(name=John Anderson, budget=84.04, starvation=-620, age=18.200000000000003, satisfaction=-2.55, jobs=['MilkMaker(name=John Anderson, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.87 0.  ], memory_salary=[54.54  0.37], birth=35, workaholic=0.59, needs=0.15000000000000002

Person(name=John Anderson, budget=83.31, starvation=-70, age=18.300000000000004, satisfaction=171.25, jobs=['MilkMaker(name=John Anderson, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.87 0.   1.89], memory_salary=[54.54  0.37  1.16], birth=36, workaholic=0.59, needs=0.25

Person(name=John Anderson, budget=84.64, starvation=460, age=18.400000000000006, satisfaction=171.19, jobs=['MilkMaker(name=John Anderson, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.87 0.   1.89 0.78], memory_salary=[54.54  0.37  1.16  2.11], birth=37, workaholic=0.59, needs=0.15

Person(name=John Anderson, budget=86.53, starvation=-110, age=18.500000000000007, satisfaction=172.06, jobs=['MilkMaker(name=John Anderson, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.87 0.   1.89 0.78 0.46], memory_salary=[54.54  0.37  1.16  2.11  2.35], birth=38, workaholic=0.59, needs=0.25

Person(name=John Anderson, budget=86.96, starvation=750, age=18.60000000000001, satisfaction=175.55, jobs=['MilkMaker(name=John Anderson, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.89 0.78 0.46 0.93], memory_salary=[0.37 1.16 2.11 2.35 1.36], birth=39, workaholic=0.59, needs=0.35

Person(name=John Anderson, budget=87.66, starvation=1610, age=18.70000000000001, satisfaction=177.32, jobs=['MilkMaker(name=John Anderson, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.89 0.78 0.46 0.93 0.93], memory_salary=[1.16 2.11 2.35 1.36 1.63], birth=40, workaholic=0.59, needs=0.44999999999999996

Person(name=John Anderson, budget=89.03, starvation=2470, age=18.80000000000001, satisfaction=177.8, jobs=['MilkMaker(name=John Anderson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.78 0.46 0.93 0.93 0.94], memory_salary=[2.11 2.35 1.36 1.63 2.31], birth=41, workaholic=0.59, needs=0.5499999999999999

Person(name=John Anderson, budget=89.5, starvation=2470, age=18.900000000000013, satisfaction=179.58, jobs=['MilkMaker(name=John Anderson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.46 0.93 0.93 0.94 1.58], memory_salary=[2.35 1.36 1.63 2.31 2.05], birth=42, workaholic=0.59, needs=0.6499999999999999

Person(name=John Anderson, budget=89.91, starvation=2300, age=19.000000000000014, satisfaction=179.91, jobs=['MilkMaker(name=John Anderson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93 0.93 0.94 1.58 0.83], memory_salary=[1.36 1.63 2.31 2.05 1.24], birth=43, workaholic=0.59, needs=0.7499999999999999

