Person(name=Eve Williams, budget=36.74, starvation=3200, age=18.1, satisfaction=-1.98, jobs=['BreadMaker(name=Eve Williams, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.63], memory_salary=[8.37], birth=28, workaholic=0.47, needs=0.05

Person(name=Eve Williams, budget=38.02, starvation=1200, age=18.200000000000003, satisfaction=-3.05, jobs=['BreadMaker(name=Eve Williams, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.63 0.  ], memory_salary=[8.37 1.28], birth=29, workaholic=0.47, needs=0.15000000000000002

Person(name=Eve Williams, budget=39.44, starvation=1020, age=18.300000000000004, satisfaction=4.9, jobs=['BreadMaker(name=Eve Williams, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.63 0.   0.7 ], memory_salary=[8.37 1.28 2.12], birth=30, workaholic=0.47, needs=0.25

Person(name=Eve Williams, budget=40.69, starvation=840, age=18.400000000000006, satisfaction=5.47, jobs=['BreadMaker(name=Eve Williams, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.63 0.   0.7  0.7 ], memory_salary=[8.37 1.28 2.12 1.95], birth=31, workaholic=0.47, needs=0.35

Person(name=Eve Williams, budget=41.3, starvation=660, age=18.500000000000007, satisfaction=5.91, jobs=['BreadMaker(name=Eve Williams, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.63 0.   0.7  0.7  0.69], memory_salary=[8.37 1.28 2.12 1.95 1.3 ], birth=32, workaholic=0.47, needs=0.44999999999999996

Person(name=Eve Williams, budget=43.85, starvation=1030, age=18.60000000000001, satisfaction=6.1, jobs=['BreadMaker(name=Eve Williams, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.7  0.7  0.69 0.86], memory_salary=[1.28 2.12 1.95 1.3  3.41], birth=33, workaholic=0.47, needs=0.5499999999999999

Person(name=Eve Williams, budget=46.22, starvation=130, age=18.70000000000001, satisfaction=6.05, jobs=['BreadMaker(name=Eve Williams, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.7  0.7  0.69 0.86 0.32], memory_salary=[2.12 1.95 1.3  3.41 2.69], birth=34, workaholic=0.47, needs=0.6499999999999999

Person(name=Eve Williams, budget=46.73, starvation=660, age=18.80000000000001, satisfaction=7.63, jobs=['BreadMaker(name=Eve Williams, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.7  0.69 0.86 0.32 0.82], memory_salary=[1.95 1.3  3.41 2.69 1.33], birth=35, workaholic=0.47, needs=0.7499999999999999

Person(name=Eve Williams, budget=49.59, starvation=640, age=18.900000000000013, satisfaction=7.24, jobs=['BreadMaker(name=Eve Williams, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.69 0.86 0.32 0.82 0.66], memory_salary=[1.3  3.41 2.69 1.33 3.53], birth=36, workaholic=0.47, needs=0.8499999999999999

Person(name=Eve Williams, budget=49.97, starvation=2050, age=19.000000000000014, satisfaction=7.15, jobs=['BreadMaker(name=Eve Williams, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.86 0.32 0.82 0.66 1.14], memory_salary=[3.41 2.69 1.33 3.53 1.52], birth=37, workaholic=0.47, needs=0.9499999999999998

