Person(name=Bob Brown, budget=38.95, starvation=1380, age=18.1, satisfaction=-1.42, jobs=['MilkMaker(name=Bob Brown, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.09], memory_salary=[10.04], birth=17, workaholic=0.82, needs=0.05

Person(name=Bob Brown, budget=39.38, starvation=-620, age=18.200000000000003, satisfaction=-2.5, jobs=['MilkMaker(name=Bob Brown, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.09 0.  ], memory_salary=[10.04  0.43], birth=18, workaholic=0.82, needs=0.15000000000000002

Person(name=Bob Brown, budget=38.88, starvation=-70, age=18.300000000000004, satisfaction=29.09, jobs=['MilkMaker(name=Bob Brown, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.09 0.   1.84], memory_salary=[10.04  0.43  1.33], birth=19, workaholic=0.82, needs=0.25

Person(name=Bob Brown, budget=40.49, starvation=460, age=18.400000000000006, satisfaction=29.41, jobs=['MilkMaker(name=Bob Brown, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.09 0.   1.84 0.82], memory_salary=[10.04  0.43  1.33  2.43], birth=20, workaholic=0.82, needs=0.21

Person(name=Bob Brown, budget=43.01, starvation=-990, age=18.500000000000007, satisfaction=29.48, jobs=['MilkMaker(name=Bob Brown, job_satisfied=0.87, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.09 0.   1.84 0.82 0.18], memory_salary=[10.04  0.43  1.33  2.43  2.7 ], birth=21, workaholic=0.82, needs=0.31

Person(name=Bob Brown, budget=43.73, starvation=-130, age=18.60000000000001, satisfaction=32.4, jobs=['MilkMaker(name=Bob Brown, job_satisfied=0.97, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.84 0.82 0.18 1.  ], memory_salary=[0.43 1.33 2.43 2.7  1.72], birth=22, workaholic=0.82, needs=0.41000000000000003

Person(name=Bob Brown, budget=44.26, starvation=1130, age=18.70000000000001, satisfaction=35.64, jobs=['MilkMaker(name=Bob Brown, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.84 0.82 0.18 1.   1.52], memory_salary=[1.33 2.43 2.7  1.72 2.05], birth=23, workaholic=0.82, needs=0.51

Person(name=Bob Brown, budget=46.06, starvation=1510, age=18.80000000000001, satisfaction=37.23, jobs=['MilkMaker(name=Bob Brown, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.82 0.18 1.   1.52 1.  ], memory_salary=[2.43 2.7  1.72 2.05 2.8 ], birth=24, workaholic=0.82, needs=0.61

Person(name=Bob Brown, budget=48.42, starvation=-490, age=18.900000000000013, satisfaction=35.87, jobs=['MilkMaker(name=Bob Brown, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.18 1.   1.52 1.   0.  ], memory_salary=[2.7  1.72 2.05 2.8  2.36], birth=25, workaholic=0.82, needs=0.71

Person(name=Bob Brown, budget=49.26, starvation=-1690, age=19.000000000000014, satisfaction=35.03, jobs=['MilkMaker(name=Bob Brown, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.   1.52 1.   0.   0.58], memory_salary=[1.72 2.05 2.8  2.36 1.42], birth=26, workaholic=0.82, needs=0.8099999999999999

