Person(name=Alex Taylor, budget=61.27, starvation=3200, age=18.1, satisfaction=-1.84, jobs=['MeatMaker(name=Alex Taylor, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.78], memory_salary=[33.05], birth=40, workaholic=0.58, needs=0.05

Person(name=Alex Taylor, budget=61.69, starvation=1200, age=18.200000000000003, satisfaction=-2.92, jobs=['MeatMaker(name=Alex Taylor, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.78 0.  ], memory_salary=[33.05  0.42], birth=41, workaholic=0.58, needs=0.15000000000000002

Person(name=Alex Taylor, budget=63.26, starvation=-800, age=18.300000000000004, satisfaction=-4.04, jobs=['MeatMaker(name=Alex Taylor, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.78 0.   0.  ], memory_salary=[33.05  0.42  1.57], birth=42, workaholic=0.58, needs=0.25

Person(name=Alex Taylor, budget=64.47, starvation=60, age=18.400000000000006, satisfaction=-3.76, jobs=['MeatMaker(name=Alex Taylor, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.78 0.   0.   0.91], memory_salary=[33.05  0.42  1.57  2.12], birth=43, workaholic=0.58, needs=0.35

Person(name=Alex Taylor, budget=67.47, starvation=-510, age=18.500000000000007, satisfaction=-3.46, jobs=['MeatMaker(name=Alex Taylor, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.78 0.   0.   0.91 0.46], memory_salary=[33.05  0.42  1.57  2.12  3.46], birth=44, workaholic=0.58, needs=0.44999999999999996

Person(name=Alex Taylor, budget=67.66, starvation=350, age=18.60000000000001, satisfaction=0.0, jobs=['CerealMaker(name=Alex Taylor, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.   0.91 0.46 0.96], memory_salary=[0.42 1.57 2.12 3.46 1.15], birth=45, workaholic=0.58, needs=0.5499999999999999

Person(name=Alex Taylor, budget=68.12, starvation=1210, age=18.70000000000001, satisfaction=1.48, jobs=['CerealMaker(name=Alex Taylor, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.91 0.46 0.96 0.95], memory_salary=[1.57 2.12 3.46 1.15 1.42], birth=46, workaholic=0.58, needs=0.6499999999999999

Person(name=Alex Taylor, budget=69.12, starvation=-790, age=18.80000000000001, satisfaction=0.1, jobs=['CerealMaker(name=Alex Taylor, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91 0.46 0.96 0.95 0.  ], memory_salary=[2.12 3.46 1.15 1.42 1.  ], birth=47, workaholic=0.58, needs=0.7499999999999999

Person(name=Alex Taylor, budget=69.99, starvation=-1360, age=18.900000000000013, satisfaction=-1.13, jobs=['CerealMaker(name=Alex Taylor, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.46 0.96 0.95 0.   0.44], memory_salary=[3.46 1.15 1.42 1.   1.31], birth=48, workaholic=0.58, needs=0.8499999999999999

Person(name=Alex Taylor, budget=70.75, starvation=-610, age=19.000000000000014, satisfaction=-2.42, jobs=['CerealMaker(name=Alex Taylor, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.96 0.95 0.   0.44 0.82], memory_salary=[1.15 1.42 1.   1.31 1.58], birth=49, workaholic=0.58, needs=0.9499999999999998

