Person(name=John Anderson, budget=33.07, starvation=1380, age=18.1, satisfaction=-1.46, jobs=['MilkMaker(name=John Anderson, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.02], memory_salary=[4.09], birth=6, workaholic=0.12, needs=0.05

Person(name=John Anderson, budget=32.6, starvation=1580, age=18.200000000000003, satisfaction=4.9, jobs=['MilkMaker(name=John Anderson, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.02 0.73], memory_salary=[4.09 0.26], birth=7, workaholic=0.12, needs=0.15000000000000002

Person(name=John Anderson, budget=33.42, starvation=-420, age=18.300000000000004, satisfaction=3.78, jobs=['MilkMaker(name=John Anderson, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.02 0.73 0.  ], memory_salary=[4.09 0.26 0.82], birth=8, workaholic=0.12, needs=0.25

Person(name=John Anderson, budget=34.73, starvation=-1870, age=18.400000000000006, satisfaction=2.85, jobs=['MilkMaker(name=John Anderson, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.02 0.73 0.   0.18], memory_salary=[4.09 0.26 0.82 1.49], birth=9, workaholic=0.12, needs=0.35

Person(name=John Anderson, budget=35.31, starvation=-460, age=18.500000000000007, satisfaction=3.54, jobs=['MilkMaker(name=John Anderson, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.02 0.73 0.   0.18 1.08], memory_salary=[4.09 0.26 0.82 1.49 1.66], birth=10, workaholic=0.12, needs=0.44999999999999996

Person(name=John Anderson, budget=35.43, starvation=400, age=18.60000000000001, satisfaction=4.46, jobs=['MilkMaker(name=John Anderson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.73 0.   0.18 1.08 0.95], memory_salary=[0.26 0.82 1.49 1.66 1.07], birth=11, workaholic=0.12, needs=0.5499999999999999

Person(name=John Anderson, budget=36.71, starvation=-1600, age=18.70000000000001, satisfaction=3.13, jobs=['MilkMaker(name=John Anderson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.18 1.08 0.95 0.  ], memory_salary=[0.82 1.49 1.66 1.07 1.28], birth=12, workaholic=0.12, needs=0.6499999999999999

Person(name=John Anderson, budget=37.43, starvation=-740, age=18.80000000000001, satisfaction=2.67, jobs=['MilkMaker(name=John Anderson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.18 1.08 0.95 0.   1.  ], memory_salary=[1.49 1.66 1.07 1.28 1.72], birth=13, workaholic=0.12, needs=0.7499999999999999

Person(name=John Anderson, budget=38.09, starvation=10, age=18.900000000000013, satisfaction=1.89, jobs=['MilkMaker(name=John Anderson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.08 0.95 0.   1.   0.78], memory_salary=[1.66 1.07 1.28 1.72 1.45], birth=14, workaholic=0.12, needs=0.8499999999999999

Person(name=John Anderson, budget=38.96, starvation=-1990, age=19.000000000000014, satisfaction=0.42, jobs=['CerealMaker(name=John Anderson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95 0.   1.   0.78 0.  ], memory_salary=[1.07 1.28 1.72 1.45 0.87], birth=15, workaholic=0.12, needs=0.9499999999999998

