Person(name=David Simpson, budget=40.12, starvation=1380, age=18.1, satisfaction=-1.39, jobs=['BreadMaker(name=David Simpson, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91], memory_salary=[11.03], birth=38, workaholic=0.28, needs=0.05

Person(name=David Simpson, budget=40.81, starvation=-620, age=18.200000000000003, satisfaction=-2.46, jobs=['BreadMaker(name=David Simpson, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91 0.  ], memory_salary=[11.03  0.69], birth=39, workaholic=0.28, needs=0.15000000000000002

Person(name=David Simpson, budget=40.68, starvation=-90, age=18.300000000000004, satisfaction=13.93, jobs=['BreadMaker(name=David Simpson, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91 0.   0.92], memory_salary=[11.03  0.69  0.79], birth=40, workaholic=0.28, needs=0.25

Person(name=David Simpson, budget=42.36, starvation=-110, age=18.400000000000006, satisfaction=13.49, jobs=['BreadMaker(name=David Simpson, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91 0.   0.92 0.61], memory_salary=[11.03  0.69  0.79  2.3 ], birth=41, workaholic=0.28, needs=0.35

Person(name=David Simpson, budget=44.58, starvation=-1310, age=18.500000000000007, satisfaction=14.64, jobs=['BreadMaker(name=David Simpson, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91 0.   0.92 0.61 0.72], memory_salary=[11.03  0.69  0.79  2.3   2.94], birth=42, workaholic=0.28, needs=0.44999999999999996

Person(name=David Simpson, budget=43.92, starvation=750, age=18.60000000000001, satisfaction=22.58, jobs=['BreadMaker(name=David Simpson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.92 0.61 0.72 2.  ], memory_salary=[0.69 0.79 2.3  2.94 1.33], birth=43, workaholic=0.28, needs=0.5499999999999999

Person(name=David Simpson, budget=44.23, starvation=2010, age=18.70000000000001, satisfaction=24.1, jobs=['BreadMaker(name=David Simpson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.92 0.61 0.72 2.   1.52], memory_salary=[0.79 2.3  2.94 1.33 1.84], birth=44, workaholic=0.28, needs=0.6499999999999999

Person(name=David Simpson, budget=46.47, starvation=10, age=18.80000000000001, satisfaction=22.83, jobs=['BreadMaker(name=David Simpson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.61 0.72 2.   1.52 0.  ], memory_salary=[2.3  2.94 1.33 1.84 2.24], birth=45, workaholic=0.28, needs=0.5499999999999999

Person(name=David Simpson, budget=47.93, starvation=870, age=18.900000000000013, satisfaction=23.29, jobs=['BreadMaker(name=David Simpson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.72 2.   1.52 0.   0.88], memory_salary=[2.94 1.33 1.84 2.24 2.33], birth=46, workaholic=0.28, needs=0.6499999999999999

Person(name=David Simpson, budget=48.46, starvation=1900, age=19.000000000000014, satisfaction=26.46, jobs=['BreadMaker(name=David Simpson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[2.   1.52 0.   0.88 1.82], memory_salary=[1.33 1.84 2.24 2.33 2.35], birth=47, workaholic=0.28, needs=0.7499999999999999

