Person(name=Chris Williams, budget=39.77, starvation=3200, age=18.1, satisfaction=-2.09, jobs=['MilkMaker(name=Chris Williams, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.66], memory_salary=[11.43], birth=21, workaholic=0.24, needs=0.05

Person(name=Chris Williams, budget=40.5, starvation=1200, age=18.200000000000003, satisfaction=-3.16, jobs=['MilkMaker(name=Chris Williams, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.66 0.  ], memory_salary=[11.43  0.73], birth=22, workaholic=0.24, needs=0.15000000000000002

Person(name=Chris Williams, budget=40.94, starvation=630, age=18.300000000000004, satisfaction=2.23, jobs=['MilkMaker(name=Chris Williams, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.66 0.   0.4 ], memory_salary=[11.43  0.73  0.84], birth=23, workaholic=0.24, needs=0.25

Person(name=Chris Williams, budget=41.5, starvation=60, age=18.400000000000006, satisfaction=1.4, jobs=['MilkMaker(name=Chris Williams, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.66 0.   0.4  0.4 ], memory_salary=[11.43  0.73  0.84  0.96], birth=24, workaholic=0.24, needs=0.35

Person(name=Chris Williams, budget=41.02, starvation=360, age=18.500000000000007, satisfaction=2.31, jobs=['MilkMaker(name=Chris Williams, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.66 0.   0.4  0.4  1.25], memory_salary=[11.43  0.73  0.84  0.96  0.78], birth=25, workaholic=0.24, needs=0.44999999999999996

Person(name=Chris Williams, budget=42.23, starvation=10, age=18.60000000000001, satisfaction=1.91, jobs=['MilkMaker(name=Chris Williams, job_satisfied=0.94, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.4  0.4  1.25 0.45], memory_salary=[0.73 0.84 0.96 0.78 1.66], birth=26, workaholic=0.24, needs=0.48999999999999994

Person(name=Chris Williams, budget=43.43, starvation=-160, age=18.70000000000001, satisfaction=1.37, jobs=['MilkMaker(name=Chris Williams, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.4  0.4  1.25 0.45 0.72], memory_salary=[0.84 0.96 0.78 1.66 1.92], birth=27, workaholic=0.24, needs=0.59

Person(name=Chris Williams, budget=44.16, starvation=-330, age=18.80000000000001, satisfaction=1.4, jobs=['MilkMaker(name=Chris Williams, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.4  1.25 0.45 0.72 0.95], memory_salary=[0.96 0.78 1.66 1.92 1.68], birth=28, workaholic=0.24, needs=0.69

Person(name=Chris Williams, budget=43.59, starvation=530, age=18.900000000000013, satisfaction=0.62, jobs=['MilkMaker(name=Chris Williams, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.25 0.45 0.72 0.95 1.23], memory_salary=[0.78 1.66 1.92 1.68 0.66], birth=29, workaholic=0.24, needs=0.7899999999999999

Person(name=Chris Williams, budget=44.68, starvation=-1470, age=19.000000000000014, satisfaction=-0.81, jobs=['MeatMaker(name=Chris Williams, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.45 0.72 0.95 1.23 0.  ], memory_salary=[1.66 1.92 1.68 0.66 1.09], birth=30, workaholic=0.24, needs=0.8699999999999999

