Person(name=Robert Williams, budget=36.84, starvation=3200, age=18.1, satisfaction=-1.98, jobs=['BreadMaker(name=Robert Williams, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.63], memory_salary=[8.47], birth=28, workaholic=0.42, needs=0.05

Person(name=Robert Williams, budget=37.6, starvation=1200, age=18.200000000000003, satisfaction=-3.05, jobs=['BreadMaker(name=Robert Williams, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.63 0.  ], memory_salary=[8.47 0.76], birth=29, workaholic=0.42, needs=0.15000000000000002

Person(name=Robert Williams, budget=38.48, starvation=-800, age=18.300000000000004, satisfaction=-4.18, jobs=['BreadMaker(name=Robert Williams, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.63 0.   0.  ], memory_salary=[8.47 0.76 0.88], birth=30, workaholic=0.42, needs=0.25

Person(name=Robert Williams, budget=39.63, starvation=840, age=18.400000000000006, satisfaction=-4.93, jobs=['BreadMaker(name=Robert Williams, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.63 0.   0.   1.4 ], memory_salary=[8.47 0.76 0.88 2.55], birth=31, workaholic=0.42, needs=0.35

Person(name=Robert Williams, budget=40.96, starvation=2260, age=18.500000000000007, satisfaction=-0.21, jobs=['BreadMaker(name=Robert Williams, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.63 0.   0.   1.4  1.93], memory_salary=[8.47 0.76 0.88 2.55 3.26], birth=32, workaholic=0.42, needs=0.44999999999999996

Person(name=Robert Williams, budget=41.58, starvation=2630, age=18.60000000000001, satisfaction=1.69, jobs=['BreadMaker(name=Robert Williams, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.   1.4  1.93 0.86], memory_salary=[0.76 0.88 2.55 3.26 1.48], birth=33, workaholic=0.42, needs=0.5499999999999999

Person(name=Robert Williams, budget=43.3, starvation=1730, age=18.70000000000001, satisfaction=1.64, jobs=['BreadMaker(name=Robert Williams, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.4  1.93 0.86 0.32], memory_salary=[0.88 2.55 3.26 1.48 2.04], birth=34, workaholic=0.42, needs=0.6499999999999999

Person(name=Robert Williams, budget=45.62, starvation=280, age=18.80000000000001, satisfaction=0.61, jobs=['BreadMaker(name=Robert Williams, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.4  1.93 0.86 0.32 0.16], memory_salary=[2.55 3.26 1.48 2.04 2.48], birth=35, workaholic=0.42, needs=0.7499999999999999

Person(name=Robert Williams, budget=47.37, starvation=810, age=18.900000000000013, satisfaction=0.76, jobs=['BreadMaker(name=Robert Williams, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.93 0.86 0.32 0.16 0.83], memory_salary=[3.26 1.48 2.04 2.48 2.58], birth=36, workaholic=0.42, needs=0.8499999999999999

Person(name=Robert Williams, budget=49.8, starvation=-640, age=19.000000000000014, satisfaction=-0.45, jobs=['BreadMaker(name=Robert Williams, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.86 0.32 0.16 0.83 0.17], memory_salary=[1.48 2.04 2.48 2.58 2.6 ], birth=37, workaholic=0.42, needs=0.9499999999999998

