Person(name=Samantha Smith, budget=44.17, starvation=5900, age=18.1, satisfaction=-4.23, jobs=['MeatMaker(name=Samantha Smith, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.08], memory_salary=[17.25], birth=10, workaholic=0.39, needs=0.05

Person(name=Samantha Smith, budget=44.54, starvation=3900, age=18.200000000000003, satisfaction=-5.31, jobs=['MeatMaker(name=Samantha Smith, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.08 0.  ], memory_salary=[17.25  0.37], birth=11, workaholic=0.39, needs=0.15000000000000002

Person(name=Samantha Smith, budget=45.58, starvation=3000, age=18.300000000000004, satisfaction=6.27, jobs=['MeatMaker(name=Samantha Smith, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.08 0.   0.33], memory_salary=[17.25  0.37  1.38], birth=12, workaholic=0.39, needs=0.25

Person(name=Samantha Smith, budget=47.27, starvation=1550, age=18.400000000000006, satisfaction=5.51, jobs=['MeatMaker(name=Samantha Smith, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.08 0.   0.33 0.17], memory_salary=[17.25  0.37  1.38  1.86], birth=13, workaholic=0.39, needs=0.35

Person(name=Samantha Smith, budget=50.31, starvation=-450, age=18.500000000000007, satisfaction=4.29, jobs=['MeatMaker(name=Samantha Smith, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.08 0.   0.33 0.17 0.  ], memory_salary=[17.25  0.37  1.38  1.86  3.04], birth=14, workaholic=0.39, needs=0.44999999999999996

Person(name=Samantha Smith, budget=50.22, starvation=960, age=18.60000000000001, satisfaction=7.1, jobs=['CerealMaker(name=Samantha Smith, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.33 0.17 0.   1.11], memory_salary=[0.37 1.38 1.86 3.04 1.01], birth=15, workaholic=0.39, needs=0.5499999999999999

Person(name=Samantha Smith, budget=51.47, starvation=-1040, age=18.70000000000001, satisfaction=5.78, jobs=['CerealMaker(name=Samantha Smith, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.33 0.17 0.   1.11 0.  ], memory_salary=[1.38 1.86 3.04 1.01 1.25], birth=16, workaholic=0.39, needs=0.6499999999999999

Person(name=Samantha Smith, budget=50.18, starvation=1090, age=18.80000000000001, satisfaction=2.22, jobs=['CerealMaker(name=Samantha Smith, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.17 0.   1.11 0.   2.17], memory_salary=[1.86 3.04 1.01 1.25 0.88], birth=17, workaholic=0.39, needs=0.7499999999999999

Person(name=Samantha Smith, budget=51.33, starvation=-910, age=18.900000000000013, satisfaction=0.86, jobs=['CerealMaker(name=Samantha Smith, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.11 0.   2.17 0.  ], memory_salary=[3.04 1.01 1.25 0.88 1.15], birth=18, workaholic=0.39, needs=0.7299999999999999

Person(name=Samantha Smith, budget=51.73, starvation=-50, age=19.000000000000014, satisfaction=-0.12, jobs=['CerealMaker(name=Samantha Smith, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.11 0.   2.17 0.   0.91], memory_salary=[1.01 1.25 0.88 1.15 1.32], birth=19, workaholic=0.39, needs=0.6599999999999999

