Person(name=Stephan Johnson, budget=43.62, starvation=3200, age=18.1, satisfaction=-2.17, jobs=['MilkMaker(name=Stephan Johnson, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.83], memory_salary=[15.45], birth=39, workaholic=0.5, needs=0.05

Person(name=Stephan Johnson, budget=43.97, starvation=1200, age=18.200000000000003, satisfaction=-3.24, jobs=['MilkMaker(name=Stephan Johnson, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.83 0.  ], memory_salary=[15.45  0.35], birth=40, workaholic=0.5, needs=0.15000000000000002

Person(name=Stephan Johnson, budget=45.07, starvation=-800, age=18.300000000000004, satisfaction=-4.37, jobs=['MilkMaker(name=Stephan Johnson, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.83 0.   0.  ], memory_salary=[15.45  0.35  1.1 ], birth=41, workaholic=0.5, needs=0.25

Person(name=Stephan Johnson, budget=45.81, starvation=450, age=18.400000000000006, satisfaction=-5.3, jobs=['MilkMaker(name=Stephan Johnson, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.83 0.   0.   1.27], memory_salary=[15.45  0.35  1.1   2.  ], birth=42, workaholic=0.5, needs=0.35

Person(name=Stephan Johnson, budget=47.1, starvation=1310, age=18.500000000000007, satisfaction=-4.3, jobs=['MilkMaker(name=Stephan Johnson, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.83 0.   0.   1.27 0.93], memory_salary=[15.45  0.35  1.1   2.    2.22], birth=43, workaholic=0.5, needs=0.44999999999999996

Person(name=Stephan Johnson, budget=48.54, starvation=-690, age=18.60000000000001, satisfaction=-5.57, jobs=['CerealMaker(name=Stephan Johnson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.   1.27 0.93 0.  ], memory_salary=[0.35 1.1  2.   2.22 1.44], birth=44, workaholic=0.5, needs=0.5499999999999999

Person(name=Stephan Johnson, budget=48.93, starvation=170, age=18.70000000000001, satisfaction=-4.83, jobs=['CerealMaker(name=Stephan Johnson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.27 0.93 0.   0.95], memory_salary=[1.1  2.   2.22 1.44 1.35], birth=45, workaholic=0.5, needs=0.6499999999999999

Person(name=Stephan Johnson, budget=48.83, starvation=1250, age=18.80000000000001, satisfaction=-4.71, jobs=['BreadMaker(name=Stephan Johnson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.27 0.93 0.   0.95 1.06], memory_salary=[2.   2.22 1.44 1.35 0.95], birth=46, workaholic=0.5, needs=0.7499999999999999

Person(name=Stephan Johnson, budget=51.38, starvation=-200, age=18.900000000000013, satisfaction=-5.97, jobs=['BreadMaker(name=Stephan Johnson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93 0.   0.95 1.06 0.19], memory_salary=[2.22 1.44 1.35 0.95 2.74], birth=47, workaholic=0.5, needs=0.8499999999999999

Person(name=Stephan Johnson, budget=53.28, starvation=-380, age=19.000000000000014, satisfaction=-7.12, jobs=['BreadMaker(name=Stephan Johnson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.95 1.06 0.19 0.86], memory_salary=[1.44 1.35 0.95 2.74 2.76], birth=48, workaholic=0.5, needs=0.9499999999999998

