Person(name=Paul Williams, budget=96.01, starvation=3200, age=18.1, satisfaction=-2.05, jobs=['MeatMaker(name=Paul Williams, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.87], memory_salary=[67.88], birth=4, workaholic=0.72, needs=0.05

Person(name=Paul Williams, budget=97.32, starvation=1200, age=18.200000000000003, satisfaction=-3.13, jobs=['MeatMaker(name=Paul Williams, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.87 0.  ], memory_salary=[67.88  1.31], birth=5, workaholic=0.72, needs=0.15000000000000002

Person(name=Paul Williams, budget=98.22, starvation=-800, age=18.300000000000004, satisfaction=-4.25, jobs=['MeatMaker(name=Paul Williams, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.87 0.   0.  ], memory_salary=[67.88  1.31  0.9 ], birth=6, workaholic=0.72, needs=0.25

Person(name=Paul Williams, budget=97.87, starvation=60, age=18.400000000000006, satisfaction=-4.04, jobs=['MeatMaker(name=Paul Williams, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.87 0.   0.   1.14], memory_salary=[67.88  1.31  0.9   0.79], birth=7, workaholic=0.72, needs=0.35

Person(name=Paul Williams, budget=97.84, starvation=-510, age=18.500000000000007, satisfaction=-4.98, jobs=['MeatMaker(name=Paul Williams, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.87 0.   0.   1.14 0.57], memory_salary=[67.88  1.31  0.9   0.79  0.54], birth=8, workaholic=0.72, needs=0.44999999999999996

Person(name=Paul Williams, budget=100.03, starvation=-1080, age=18.60000000000001, satisfaction=-6.08, jobs=['MeatMaker(name=Paul Williams, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.   1.14 0.57 0.57], memory_salary=[1.31 0.9  0.79 0.54 2.76], birth=9, workaholic=0.72, needs=0.35

Person(name=Paul Williams, budget=100.56, starvation=330, age=18.70000000000001, satisfaction=-3.68, jobs=['MeatMaker(name=Paul Williams, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   1.14 0.57 0.57 1.1 ], memory_salary=[0.9  0.79 0.54 2.76 1.64], birth=10, workaholic=0.72, needs=0.44999999999999996

Person(name=Paul Williams, budget=101.03, starvation=-1670, age=18.80000000000001, satisfaction=-4.95, jobs=['MeatMaker(name=Paul Williams, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.14 0.57 0.57 1.1  0.  ], memory_salary=[0.79 0.54 2.76 1.64 0.47], birth=11, workaholic=0.72, needs=0.5499999999999999

Person(name=Paul Williams, budget=100.95, starvation=-30, age=18.900000000000013, satisfaction=-5.8, jobs=['BreadMaker(name=Paul Williams, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.57 0.57 1.1  0.   1.5 ], memory_salary=[0.54 2.76 1.64 0.47 1.41], birth=12, workaholic=0.72, needs=0.6499999999999999

Person(name=Paul Williams, budget=101.58, starvation=-210, age=19.000000000000014, satisfaction=-7.11, jobs=['MeatMaker(name=Paul Williams, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.57 1.1  0.   1.5  0.83], memory_salary=[2.76 1.64 0.47 1.41 1.46], birth=13, workaholic=0.72, needs=0.7499999999999999

