Person(name=Sam Jones, budget=46.0, starvation=1380, age=18.1, satisfaction=-1.48, jobs=['MeatMaker(name=Sam Jones, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.87], memory_salary=[16.87], birth=18, workaholic=0.35, needs=0.05

Person(name=Sam Jones, budget=47.03, starvation=-620, age=18.200000000000003, satisfaction=-2.55, jobs=['MeatMaker(name=Sam Jones, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.87 0.  ], memory_salary=[16.87  1.03], birth=19, workaholic=0.35, needs=0.15000000000000002

Person(name=Sam Jones, budget=45.85, starvation=-70, age=18.300000000000004, satisfaction=51.95, jobs=['MeatMaker(name=Sam Jones, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.87 0.   1.89], memory_salary=[16.87  1.03  0.71], birth=20, workaholic=0.35, needs=0.25

Person(name=Sam Jones, budget=46.1, starvation=-970, age=18.400000000000006, satisfaction=51.83, jobs=['MeatMaker(name=Sam Jones, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.87 0.   1.89 0.37], memory_salary=[16.87  1.03  0.71  0.62], birth=21, workaholic=0.35, needs=0.16999999999999998

Person(name=Sam Jones, budget=45.04, starvation=-340, age=18.500000000000007, satisfaction=52.21, jobs=['MeatMaker(name=Sam Jones, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.87 0.   1.89 0.37 1.49], memory_salary=[16.87  1.03  0.71  0.62  0.42], birth=22, workaholic=0.35, needs=0.06999999999999998

Person(name=Sam Jones, budget=46.8, starvation=-1790, age=18.60000000000001, satisfaction=51.5, jobs=['MeatMaker(name=Sam Jones, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   1.89 0.37 1.49 0.18], memory_salary=[1.03 0.71 0.62 0.42 1.94], birth=23, workaholic=0.35, needs=0.05

Person(name=Sam Jones, budget=46.46, starvation=720, age=18.70000000000001, satisfaction=56.28, jobs=['MeatMaker(name=Sam Jones, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.89 0.37 1.49 0.18 1.48], memory_salary=[0.71 0.62 0.42 1.94 1.14], birth=24, workaholic=0.35, needs=0.15000000000000002

Person(name=Sam Jones, budget=46.79, starvation=-1280, age=18.80000000000001, satisfaction=55.16, jobs=['MilkMaker(name=Sam Jones, job_satisfied=0.61, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.37 1.49 0.18 1.48 0.  ], memory_salary=[0.62 0.42 1.94 1.14 0.33], birth=25, workaholic=0.35, needs=0.25

Person(name=Sam Jones, budget=47.71, starvation=-1230, age=18.900000000000013, satisfaction=55.49, jobs=['MilkMaker(name=Sam Jones, job_satisfied=0.71, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.49 0.18 1.48 0.   0.83], memory_salary=[0.42 1.94 1.14 0.33 1.76], birth=26, workaholic=0.35, needs=0.24

Person(name=Sam Jones, budget=46.7, starvation=-30, age=19.000000000000014, satisfaction=59.76, jobs=['CerealMaker(name=Sam Jones, job_satisfied=0.81, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.18 1.48 0.   0.83 2.17], memory_salary=[1.94 1.14 0.33 1.76 1.16], birth=27, workaholic=0.35, needs=0.33999999999999997

