Person(name=Charlie Johnson, budget=127.56, starvation=1380, age=18.1, satisfaction=-1.48, jobs=['BreadMaker(name=Charlie Johnson, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.87], memory_salary=[98.43], birth=31, workaholic=0.92, needs=0.05

Person(name=Charlie Johnson, budget=129.23, starvation=-620, age=18.200000000000003, satisfaction=-2.55, jobs=['BreadMaker(name=Charlie Johnson, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.87 0.  ], memory_salary=[98.43  1.67], birth=32, workaholic=0.92, needs=0.15000000000000002

Person(name=Charlie Johnson, budget=130.49, starvation=-70, age=18.300000000000004, satisfaction=322.92, jobs=['BreadMaker(name=Charlie Johnson, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.87 0.   1.51], memory_salary=[98.43  1.67  2.77], birth=33, workaholic=0.92, needs=0.25

Person(name=Charlie Johnson, budget=132.39, starvation=-90, age=18.400000000000006, satisfaction=325.08, jobs=['BreadMaker(name=Charlie Johnson, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.87 0.   1.51 0.64], memory_salary=[98.43  1.67  2.77  2.55], birth=34, workaholic=0.92, needs=0.35

Person(name=Charlie Johnson, budget=133.94, starvation=-1540, age=18.500000000000007, satisfaction=325.08, jobs=['BreadMaker(name=Charlie Johnson, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.87 0.   1.51 0.64 0.16], memory_salary=[98.43  1.67  2.77  2.55  1.7 ], birth=35, workaholic=0.92, needs=0.44999999999999996

Person(name=Charlie Johnson, budget=137.09, starvation=420, age=18.60000000000001, satisfaction=327.52, jobs=['BreadMaker(name=Charlie Johnson, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   1.51 0.64 0.16 1.32], memory_salary=[1.67 2.77 2.55 1.7  4.47], birth=36, workaholic=0.92, needs=0.5499999999999999

Person(name=Charlie Johnson, budget=140.61, starvation=-1580, age=18.70000000000001, satisfaction=326.19, jobs=['BreadMaker(name=Charlie Johnson, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.51 0.64 0.16 1.32 0.  ], memory_salary=[2.77 2.55 1.7  4.47 3.52], birth=37, workaholic=0.92, needs=0.6499999999999999

Person(name=Charlie Johnson, budget=141.48, starvation=-2380, age=18.80000000000001, satisfaction=326.94, jobs=['BreadMaker(name=Charlie Johnson, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.64 0.16 1.32 0.   0.88], memory_salary=[2.55 1.7  4.47 3.52 1.75], birth=38, workaholic=0.92, needs=0.7499999999999999

Person(name=Charlie Johnson, budget=144.72, starvation=-90, age=18.900000000000013, satisfaction=327.43, jobs=['BreadMaker(name=Charlie Johnson, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.16 1.32 0.   0.88 1.37], memory_salary=[1.7  4.47 3.52 1.75 4.61], birth=39, workaholic=0.92, needs=0.8499999999999999

Person(name=Charlie Johnson, budget=146.16, starvation=770, age=19.000000000000014, satisfaction=326.42, jobs=['BreadMaker(name=Charlie Johnson, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.32 0.   0.88 1.37 1.25], memory_salary=[4.47 3.52 1.75 4.61 2.7 ], birth=40, workaholic=0.92, needs=0.9499999999999998

