Person(name=Michael Smith, budget=151.61, starvation=1380, age=18.1, satisfaction=-1.42, jobs=[], memory_spent=[1.09], memory_salary=[0], birth=22, workaholic=0.54, needs=0.05

Person(name=Michael Smith, budget=137.98, starvation=-620, age=18.200000000000003, satisfaction=-2.45, jobs=[], memory_spent=[1.09 0.  ], memory_salary=[0 0], birth=23, workaholic=0.54, needs=0.05

Person(name=Michael Smith, budget=151.66, starvation=-90, age=18.300000000000004, satisfaction=-3.72, jobs=[], memory_spent=[1.09 0.   0.86], memory_salary=[0 0 0], birth=24, workaholic=0.54, needs=0.05

Person(name=Michael Smith, budget=160.2, starvation=-1540, age=18.400000000000006, satisfaction=-4.78, jobs=[], memory_spent=[1.09 0.   0.86 0.18], memory_salary=[0 0 0 0], birth=25, workaholic=0.54, needs=0.05

Person(name=Michael Smith, budget=165.42, starvation=-680, age=18.500000000000007, satisfaction=-6.24, jobs=[], memory_spent=[1.09 0.   0.86 0.18 0.98], memory_salary=[0 0 0 0 0], birth=26, workaholic=0.54, needs=0.05

Person(name=Michael Smith, budget=196.25, starvation=180, age=18.60000000000001, satisfaction=-7.53, jobs=[], memory_spent=[0.   0.86 0.18 0.98 0.91], memory_salary=[0 0 0 0 0], birth=27, workaholic=0.54, needs=0.05

Person(name=Michael Smith, budget=175.14, starvation=-1820, age=18.70000000000001, satisfaction=-8.56, jobs=[], memory_spent=[0.86 0.18 0.98 0.91 0.  ], memory_salary=[0 0 0 0 0], birth=28, workaholic=0.54, needs=0.05

Person(name=Michael Smith, budget=202.04, starvation=-2390, age=18.80000000000001, satisfaction=-9.84, jobs=[], memory_spent=[0.18 0.98 0.91 0.   0.6 ], memory_salary=[0 0 0 0 0], birth=29, workaholic=0.54, needs=0.05

Person(name=Michael Smith, budget=225.82, starvation=450, age=18.900000000000013, satisfaction=-11.6, jobs=[], memory_spent=[0.98 0.91 0.   0.6  1.88], memory_salary=[0 0 0 0 0], birth=30, workaholic=0.54, needs=0.05

Person(name=Michael Smith, budget=269.16, starvation=1860, age=19.000000000000014, satisfaction=-12.91, jobs=[], memory_spent=[0.91 0.   0.6  1.88 1.09], memory_salary=[0 0 0 0 0], birth=31, workaholic=0.54, needs=0.05

