Person(name=Eve Miller, budget=36.62, starvation=3200, age=18.1, satisfaction=-2.05, jobs=['PieMaker(name=Eve Miller, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.87], memory_salary=[8.49], birth=25, workaholic=0.76, needs=0.05

Person(name=Eve Miller, budget=36.62, starvation=1200, age=18.200000000000003, satisfaction=-3.13, jobs=['PieMaker(name=Eve Miller, job_satisfied=0.6, employer=bbbccaa, salary=0.0, working_hours=8)'], memory_spent=[1.87 0.  ], memory_salary=[8.49 0.  ], birth=26, workaholic=0.76, needs=0.15000000000000002

Person(name=Eve Miller, budget=41.52, starvation=-800, age=18.300000000000004, satisfaction=-4.25, jobs=['PieMaker(name=Eve Miller, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.87 0.   0.  ], memory_salary=[8.49 0.   4.9 ], birth=27, workaholic=0.76, needs=0.25

Person(name=Eve Miller, budget=51.56, starvation=60, age=18.400000000000006, satisfaction=-1.73, jobs=['MeatMaker(name=Eve Miller, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.87 0.   0.   0.81], memory_salary=[ 8.49  0.    4.9  10.84], birth=28, workaholic=0.76, needs=0.35

Person(name=Eve Miller, budget=60.75, starvation=-1940, age=18.500000000000007, satisfaction=-2.96, jobs=['MeatMaker(name=Eve Miller, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.87 0.   0.   0.81 0.  ], memory_salary=[ 8.49  0.    4.9  10.84  9.19], birth=29, workaholic=0.76, needs=0.44999999999999996

Person(name=Eve Miller, budget=62.44, starvation=350, age=18.60000000000001, satisfaction=18.98, jobs=['CerealMaker(name=Eve Miller, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.   0.81 0.   1.39], memory_salary=[ 0.    4.9  10.84  9.19  3.09], birth=30, workaholic=0.76, needs=0.5499999999999999

Person(name=Eve Miller, budget=64.43, starvation=-220, age=18.70000000000001, satisfaction=20.7, jobs=['CerealMaker(name=Eve Miller, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.81 0.   1.39 0.58], memory_salary=[ 4.9  10.84  9.19  3.09  2.56], birth=31, workaholic=0.76, needs=0.6499999999999999

Person(name=Eve Miller, budget=65.19, starvation=640, age=18.80000000000001, satisfaction=20.6, jobs=['MilkMaker(name=Eve Miller, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.81 0.   1.39 0.58 1.03], memory_salary=[10.84  9.19  3.09  2.56  1.79], birth=32, workaholic=0.76, needs=0.7499999999999999

Person(name=Eve Miller, budget=67.14, starvation=1500, age=18.900000000000013, satisfaction=20.18, jobs=['MilkMaker(name=Eve Miller, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.39 0.58 1.03 0.91], memory_salary=[9.19 3.09 2.56 1.79 2.86], birth=33, workaholic=0.76, needs=0.8499999999999999

Person(name=Eve Miller, budget=67.95, starvation=2360, age=19.000000000000014, satisfaction=19.34, jobs=['CerealMaker(name=Eve Miller, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.39 0.58 1.03 0.91 0.91], memory_salary=[3.09 2.56 1.79 2.86 1.73], birth=34, workaholic=0.76, needs=0.9499999999999998

