Person(name=Alice Johnson, budget=34.33, starvation=1380, age=18.1, satisfaction=-1.44, jobs=['MilkMaker(name=Alice Johnson, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93], memory_salary=[5.26], birth=38, workaholic=0.11, needs=0.05

Person(name=Alice Johnson, budget=34.59, starvation=-620, age=18.200000000000003, satisfaction=-2.52, jobs=['MilkMaker(name=Alice Johnson, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93 0.  ], memory_salary=[5.26 0.26], birth=39, workaholic=0.11, needs=0.15000000000000002

Person(name=Alice Johnson, budget=34.1, starvation=790, age=18.300000000000004, satisfaction=5.33, jobs=['MilkMaker(name=Alice Johnson, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93 0.   1.3 ], memory_salary=[5.26 0.26 0.81], birth=40, workaholic=0.11, needs=0.25

Person(name=Alice Johnson, budget=35.58, starvation=-1210, age=18.400000000000006, satisfaction=4.26, jobs=['MilkMaker(name=Alice Johnson, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93 0.   1.3  0.  ], memory_salary=[5.26 0.26 0.81 1.48], birth=41, workaholic=0.11, needs=0.15

Person(name=Alice Johnson, budget=36.31, starvation=-350, age=18.500000000000007, satisfaction=5.49, jobs=['MilkMaker(name=Alice Johnson, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93 0.   1.3  0.   0.92], memory_salary=[5.26 0.26 0.81 1.48 1.65], birth=42, workaholic=0.11, needs=0.25

Person(name=Alice Johnson, budget=36.56, starvation=510, age=18.60000000000001, satisfaction=6.35, jobs=['MilkMaker(name=Alice Johnson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.3  0.   0.92 0.81], memory_salary=[0.26 0.81 1.48 1.65 1.06], birth=43, workaholic=0.11, needs=0.35

Person(name=Alice Johnson, budget=36.86, starvation=1370, age=18.70000000000001, satisfaction=7.48, jobs=['MilkMaker(name=Alice Johnson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.3  0.   0.92 0.81 0.98], memory_salary=[0.81 1.48 1.65 1.06 1.27], birth=44, workaholic=0.11, needs=0.44999999999999996

Person(name=Alice Johnson, budget=38.57, starvation=-630, age=18.80000000000001, satisfaction=6.21, jobs=['MilkMaker(name=Alice Johnson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.92 0.81 0.98 0.  ], memory_salary=[1.48 1.65 1.06 1.27 1.71], birth=45, workaholic=0.11, needs=0.5499999999999999

Person(name=Alice Johnson, budget=39.09, starvation=230, age=18.900000000000013, satisfaction=6.33, jobs=['MilkMaker(name=Alice Johnson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.92 0.81 0.98 0.   0.91], memory_salary=[1.65 1.06 1.27 1.71 1.44], birth=46, workaholic=0.11, needs=0.6499999999999999

Person(name=Alice Johnson, budget=38.99, starvation=1090, age=19.000000000000014, satisfaction=6.3, jobs=['MilkMaker(name=Alice Johnson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.81 0.98 0.   0.91 0.98], memory_salary=[1.06 1.27 1.71 1.44 0.87], birth=47, workaholic=0.11, needs=0.7499999999999999

