Person(name=Alex Wilson, budget=36.42, starvation=1380, age=18.1, satisfaction=-1.41, jobs=['CerealMaker(name=Alex Wilson, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95], memory_salary=[7.37], birth=14, workaholic=0.86, needs=0.05

Person(name=Alex Wilson, budget=37.09, starvation=-620, age=18.200000000000003, satisfaction=-2.49, jobs=['CerealMaker(name=Alex Wilson, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95 0.  ], memory_salary=[7.37 0.67], birth=15, workaholic=0.86, needs=0.15000000000000002

Person(name=Alex Wilson, budget=37.94, starvation=-90, age=18.300000000000004, satisfaction=8.31, jobs=['CerealMaker(name=Alex Wilson, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.78], memory_salary=[7.37 0.67 1.63], birth=16, workaholic=0.86, needs=0.25

Person(name=Alex Wilson, budget=40.67, starvation=-1140, age=18.400000000000006, satisfaction=8.45, jobs=['BreadMaker(name=Alex Wilson, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.78 0.5 ], memory_salary=[7.37 0.67 1.63 3.23], birth=17, workaholic=0.86, needs=0.35

Person(name=Alex Wilson, budget=44.04, starvation=-280, age=18.500000000000007, satisfaction=11.79, jobs=['BreadMaker(name=Alex Wilson, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.78 0.5  0.91], memory_salary=[7.37 0.67 1.63 3.23 4.28], birth=18, workaholic=0.86, needs=0.44999999999999996

Person(name=Alex Wilson, budget=45.03, starvation=580, age=18.60000000000001, satisfaction=17.05, jobs=['BreadMaker(name=Alex Wilson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.78 0.5  0.91 0.95], memory_salary=[0.67 1.63 3.23 4.28 1.94], birth=19, workaholic=0.86, needs=0.5499999999999999

Person(name=Alex Wilson, budget=47.7, starvation=-1420, age=18.70000000000001, satisfaction=15.72, jobs=['BreadMaker(name=Alex Wilson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.78 0.5  0.91 0.95 0.  ], memory_salary=[1.63 3.23 4.28 1.94 2.67], birth=20, workaholic=0.86, needs=0.6499999999999999

Person(name=Alex Wilson, budget=50.13, starvation=-890, age=18.80000000000001, satisfaction=16.19, jobs=['BreadMaker(name=Alex Wilson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.5  0.91 0.95 0.   0.83], memory_salary=[3.23 4.28 1.94 2.67 3.26], birth=21, workaholic=0.86, needs=0.7499999999999999

Person(name=Alex Wilson, budget=52.52, starvation=-30, age=18.900000000000013, satisfaction=17.1, jobs=['BreadMaker(name=Alex Wilson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91 0.95 0.   0.83 0.99], memory_salary=[4.28 1.94 2.67 3.26 3.39], birth=22, workaholic=0.86, needs=0.8499999999999999

Person(name=Alex Wilson, budget=54.68, starvation=830, age=19.000000000000014, satisfaction=16.12, jobs=['BreadMaker(name=Alex Wilson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.83 0.99 1.25], memory_salary=[1.94 2.67 3.26 3.39 3.41], birth=23, workaholic=0.86, needs=0.9499999999999998

