Person(name=Sam Wilson, budget=36.65, starvation=1380, age=18.1, satisfaction=-1.35, jobs=['CerealMaker(name=Sam Wilson, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95], memory_salary=[7.6], birth=14, workaholic=0.91, needs=0.05

Person(name=Sam Wilson, budget=37.34, starvation=-620, age=18.200000000000003, satisfaction=-2.43, jobs=['CerealMaker(name=Sam Wilson, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95 0.  ], memory_salary=[7.6  0.69], birth=15, workaholic=0.91, needs=0.15000000000000002

Person(name=Sam Wilson, budget=38.68, starvation=-1520, age=18.300000000000004, satisfaction=1.49, jobs=['CerealMaker(name=Sam Wilson, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.33], memory_salary=[7.6  0.69 1.67], birth=16, workaholic=0.91, needs=0.25

Person(name=Sam Wilson, budget=39.85, starvation=-420, age=18.400000000000006, satisfaction=6.72, jobs=['CerealMaker(name=Sam Wilson, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.33 2.15], memory_salary=[7.6  0.69 1.67 3.32], birth=17, workaholic=0.91, needs=0.35

Person(name=Sam Wilson, budget=40.58, starvation=610, age=18.500000000000007, satisfaction=13.92, jobs=['CerealMaker(name=Sam Wilson, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.33 2.15 1.79], memory_salary=[7.6  0.69 1.67 3.32 2.52], birth=18, workaholic=0.91, needs=0.44999999999999996

Person(name=Sam Wilson, budget=41.66, starvation=1470, age=18.60000000000001, satisfaction=17.51, jobs=['CerealMaker(name=Sam Wilson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.33 2.15 1.79 0.95], memory_salary=[0.69 1.67 3.32 2.52 2.03], birth=19, workaholic=0.91, needs=0.5499999999999999

Person(name=Sam Wilson, budget=42.79, starvation=2330, age=18.70000000000001, satisfaction=18.94, jobs=['CerealMaker(name=Sam Wilson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.33 2.15 1.79 0.95 0.95], memory_salary=[1.67 3.32 2.52 2.03 2.08], birth=20, workaholic=0.91, needs=0.6499999999999999

Person(name=Sam Wilson, budget=43.24, starvation=3190, age=18.80000000000001, satisfaction=19.72, jobs=['CerealMaker(name=Sam Wilson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[2.15 1.79 0.95 0.95 1.01], memory_salary=[3.32 2.52 2.03 2.08 1.46], birth=21, workaholic=0.91, needs=0.7499999999999999

Person(name=Sam Wilson, budget=44.82, starvation=1190, age=18.900000000000013, satisfaction=18.3, jobs=['CerealMaker(name=Sam Wilson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.79 0.95 0.95 1.01 0.  ], memory_salary=[2.52 2.03 2.08 1.46 1.58], birth=22, workaholic=0.91, needs=0.8499999999999999

Person(name=Sam Wilson, budget=46.73, starvation=-810, age=19.000000000000014, satisfaction=16.82, jobs=['CerealMaker(name=Sam Wilson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.95 0.95 1.01 0.   0.  ], memory_salary=[2.03 2.08 1.46 1.58 1.91], birth=23, workaholic=0.91, needs=0.9499999999999998

