Person(name=Alice Wilson, budget=36.96, starvation=5900, age=18.1, satisfaction=-4.31, jobs=['MeatMaker(name=Alice Wilson, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.71], memory_salary=[10.67], birth=5, workaholic=0.15, needs=0.05

Person(name=Alice Wilson, budget=37.84, starvation=3900, age=18.200000000000003, satisfaction=-5.38, jobs=['MeatMaker(name=Alice Wilson, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.71 0.  ], memory_salary=[10.67  0.88], birth=6, workaholic=0.15, needs=0.15000000000000002

Person(name=Alice Wilson, budget=38.11, starvation=3000, age=18.300000000000004, satisfaction=1.74, jobs=['MeatMaker(name=Alice Wilson, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.71 0.   0.33], memory_salary=[10.67  0.88  0.6 ], birth=7, workaholic=0.15, needs=0.25

Person(name=Alice Wilson, budget=36.5, starvation=4250, age=18.400000000000006, satisfaction=-1.61, jobs=['MeatMaker(name=Alice Wilson, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.71 0.   0.33 2.14], memory_salary=[10.67  0.88  0.6   0.53], birth=8, workaholic=0.15, needs=0.35

Person(name=Alice Wilson, budget=36.41, starvation=3680, age=18.500000000000007, satisfaction=-2.6, jobs=['MeatMaker(name=Alice Wilson, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.71 0.   0.33 2.14 0.45], memory_salary=[10.67  0.88  0.6   0.53  0.36], birth=9, workaholic=0.15, needs=0.24999999999999997

Person(name=Alice Wilson, budget=38.06, starvation=1680, age=18.60000000000001, satisfaction=-3.68, jobs=['MeatMaker(name=Alice Wilson, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.33 2.14 0.45 0.  ], memory_salary=[0.88 0.6  0.53 0.36 1.65], birth=10, workaholic=0.15, needs=0.14999999999999997

Person(name=Alice Wilson, budget=39.03, starvation=-320, age=18.70000000000001, satisfaction=-4.8, jobs=['MilkMaker(name=Alice Wilson, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.33 2.14 0.45 0.   0.  ], memory_salary=[0.6  0.53 0.36 1.65 0.97], birth=11, workaholic=0.15, needs=0.24999999999999997

Person(name=Alice Wilson, budget=39.36, starvation=-120, age=18.80000000000001, satisfaction=-3.31, jobs=['MilkMaker(name=Alice Wilson, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[2.14 0.45 0.   0.   0.63], memory_salary=[0.53 0.36 1.65 0.97 0.96], birth=12, workaholic=0.15, needs=0.35

Person(name=Alice Wilson, budget=39.45, starvation=-1020, age=18.900000000000013, satisfaction=-3.83, jobs=['MilkMaker(name=Alice Wilson, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.45 0.   0.   0.63 0.31], memory_salary=[0.36 1.65 0.97 0.96 0.4 ], birth=13, workaholic=0.15, needs=0.44999999999999996

Person(name=Alice Wilson, budget=39.84, starvation=-1920, age=19.000000000000014, satisfaction=-4.76, jobs=['MilkMaker(name=Alice Wilson, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.   0.63 0.31 0.31], memory_salary=[1.65 0.97 0.96 0.4  0.7 ], birth=14, workaholic=0.15, needs=0.5499999999999999

