Person(name=Robert Thompson, budget=95.69, starvation=3200, age=18.1, satisfaction=-1.84, jobs=['MeatMaker(name=Robert Thompson, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.78], memory_salary=[67.47], birth=16, workaholic=0.11, needs=0.05

Person(name=Robert Thompson, budget=95.99, starvation=1200, age=18.200000000000003, satisfaction=-2.92, jobs=['MeatMaker(name=Robert Thompson, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.78 0.  ], memory_salary=[67.47  0.3 ], birth=17, workaholic=0.11, needs=0.15000000000000002

Person(name=Robert Thompson, budget=96.63, starvation=630, age=18.300000000000004, satisfaction=51.37, jobs=['MeatMaker(name=Robert Thompson, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.78 0.   0.46], memory_salary=[67.47  0.3   1.1 ], birth=18, workaholic=0.11, needs=0.25

Person(name=Robert Thompson, budget=97.21, starvation=1490, age=18.400000000000006, satisfaction=50.86, jobs=['MeatMaker(name=Robert Thompson, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.78 0.   0.46 0.91], memory_salary=[67.47  0.3   1.1   1.49], birth=19, workaholic=0.11, needs=0.35

Person(name=Robert Thompson, budget=99.64, starvation=-510, age=18.500000000000007, satisfaction=49.63, jobs=['MeatMaker(name=Robert Thompson, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.78 0.   0.46 0.91 0.  ], memory_salary=[67.47  0.3   1.1   1.49  2.43], birth=20, workaholic=0.11, needs=0.44999999999999996

Person(name=Robert Thompson, budget=98.96, starvation=120, age=18.60000000000001, satisfaction=54.12, jobs=['MeatMaker(name=Robert Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.46 0.91 0.   1.49], memory_salary=[0.3  1.1  1.49 2.43 0.81], birth=21, workaholic=0.11, needs=0.5499999999999999

Person(name=Robert Thompson, budget=99.67, starvation=980, age=18.70000000000001, satisfaction=54.54, jobs=['MeatMaker(name=Robert Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.46 0.91 0.   1.49 0.95], memory_salary=[1.1  1.49 2.43 0.81 1.66], birth=22, workaholic=0.11, needs=0.6499999999999999

Person(name=Robert Thompson, budget=100.83, starvation=2010, age=18.80000000000001, satisfaction=55.79, jobs=['MeatMaker(name=Robert Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91 0.   1.49 0.95 1.91], memory_salary=[1.49 2.43 0.81 1.66 3.07], birth=23, workaholic=0.11, needs=0.6599999999999999

Person(name=Robert Thompson, budget=101.46, starvation=2460, age=18.900000000000013, satisfaction=57.68, jobs=['MeatMaker(name=Robert Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.49 0.95 1.91 1.2 ], memory_salary=[2.43 0.81 1.66 3.07 1.84], birth=24, workaholic=0.11, needs=0.7599999999999999

Person(name=Robert Thompson, budget=101.27, starvation=3880, age=19.000000000000014, satisfaction=60.49, jobs=['MeatMaker(name=Robert Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.49 0.95 1.91 1.2  2.27], memory_salary=[0.81 1.66 3.07 1.84 2.08], birth=25, workaholic=0.11, needs=0.8599999999999999

