Person(name=Robert Miller, budget=49.73, starvation=1380, age=18.1, satisfaction=-1.39, jobs=['BreadMaker(name=Robert Miller, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.91], memory_salary=[20.64], birth=23, workaholic=0.99, needs=0.05

Person(name=Robert Miller, budget=51.46, starvation=-620, age=18.200000000000003, satisfaction=-2.46, jobs=['BreadMaker(name=Robert Miller, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.91 0.  ], memory_salary=[20.64  1.73], birth=24, workaholic=0.99, needs=0.15000000000000002

Person(name=Robert Miller, budget=53.54, starvation=-90, age=18.300000000000004, satisfaction=31.1, jobs=['BreadMaker(name=Robert Miller, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.91 0.   0.79], memory_salary=[20.64  1.73  2.87], birth=25, workaholic=0.99, needs=0.25

Person(name=Robert Miller, budget=55.44, starvation=-260, age=18.400000000000006, satisfaction=34.34, jobs=['BreadMaker(name=Robert Miller, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.91 0.   0.79 0.74], memory_salary=[20.64  1.73  2.87  2.64], birth=26, workaholic=0.99, needs=0.35

Person(name=Robert Miller, budget=56.3, starvation=600, age=18.500000000000007, satisfaction=38.09, jobs=['BreadMaker(name=Robert Miller, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.91 0.   0.79 0.74 0.89], memory_salary=[20.64  1.73  2.87  2.64  1.76], birth=27, workaholic=0.99, needs=0.44999999999999996

Person(name=Robert Miller, budget=59.72, starvation=1860, age=18.60000000000001, satisfaction=41.11, jobs=['BreadMaker(name=Robert Miller, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.79 0.74 0.89 1.22], memory_salary=[1.73 2.87 2.64 1.76 4.63], birth=28, workaholic=0.99, needs=0.5499999999999999

Person(name=Robert Miller, budget=62.61, starvation=1690, age=18.70000000000001, satisfaction=42.72, jobs=['MilkMaker(name=Robert Miller, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.79 0.74 0.89 1.22 0.75], memory_salary=[2.87 2.64 1.76 4.63 3.65], birth=29, workaholic=0.99, needs=0.6499999999999999

Person(name=Robert Miller, budget=65.31, starvation=-310, age=18.80000000000001, satisfaction=41.34, jobs=['MilkMaker(name=Robert Miller, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.74 0.89 1.22 0.75 0.  ], memory_salary=[2.64 1.76 4.63 3.65 2.7 ], birth=30, workaholic=0.99, needs=0.7499999999999999

Person(name=Robert Miller, budget=64.78, starvation=-160, age=18.900000000000013, satisfaction=45.19, jobs=['MilkMaker(name=Robert Miller, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.89 1.22 0.75 0.   1.59], memory_salary=[1.76 4.63 3.65 2.7  1.06], birth=31, workaholic=0.99, needs=0.8499999999999999

Person(name=Robert Miller, budget=66.2, starvation=-1060, age=19.000000000000014, satisfaction=43.9, jobs=['MilkMaker(name=Robert Miller, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.22 0.75 0.   1.59 0.33], memory_salary=[4.63 3.65 2.7  1.06 1.75], birth=32, workaholic=0.99, needs=0.9499999999999998

