Person(name=Alice Thompson, budget=252.15, starvation=1380, age=18.1, satisfaction=-1.46, jobs=['PieMaker(name=Alice Thompson, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.02], memory_salary=[23.17], birth=32, workaholic=0.73, needs=0.05

Person(name=Alice Thompson, budget=254.54, starvation=-620, age=18.200000000000003, satisfaction=-2.53, jobs=['PieMaker(name=Alice Thompson, job_satisfied=0.6, employer=bbbccaa, salary=0.0, working_hours=8)'], memory_spent=[1.02 0.  ], memory_salary=[23.17  0.  ], birth=33, workaholic=0.73, needs=0.15000000000000002

Person(name=Alice Thompson, budget=243.63, starvation=790, age=18.300000000000004, satisfaction=43.24, jobs=['PieMaker(name=Alice Thompson, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.02 0.   1.08], memory_salary=[23.17  0.    4.81], birth=34, workaholic=0.73, needs=0.25

Person(name=Alice Thompson, budget=240.78, starvation=-260, age=18.400000000000006, satisfaction=45.24, jobs=['MeatMaker(name=Alice Thompson, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.02 0.   1.08 0.5 ], memory_salary=[23.17  0.    4.81 10.64], birth=35, workaholic=0.73, needs=0.35

Person(name=Alice Thompson, budget=247.9, starvation=1150, age=18.500000000000007, satisfaction=64.1, jobs=['MeatMaker(name=Alice Thompson, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.02 0.   1.08 0.5  1.08], memory_salary=[23.17  0.    4.81 10.64 18.15], birth=36, workaholic=0.73, needs=0.44999999999999996

Person(name=Alice Thompson, budget=244.9, starvation=-850, age=18.60000000000001, satisfaction=62.83, jobs=['MeatMaker(name=Alice Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.08 0.5  1.08 0.  ], memory_salary=[ 0.    4.81 10.64 18.15  5.9 ], birth=37, workaholic=0.73, needs=0.5499999999999999

Person(name=Alice Thompson, budget=247.13, starvation=10, age=18.70000000000001, satisfaction=80.87, jobs=['MeatMaker(name=Alice Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.08 0.5  1.08 0.   0.98], memory_salary=[ 4.81 10.64 18.15  5.9  11.56], birth=38, workaholic=0.73, needs=0.6499999999999999

Person(name=Alice Thompson, budget=266.03, starvation=-1590, age=18.80000000000001, satisfaction=81.82, jobs=['MeatMaker(name=Alice Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.5  1.08 0.   0.98 0.31], memory_salary=[10.64 18.15  5.9  11.56 21.97], birth=39, workaholic=0.73, needs=0.7499999999999999

Person(name=Alice Thompson, budget=266.38, starvation=-2160, age=18.900000000000013, satisfaction=83.44, jobs=['MeatMaker(name=Alice Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.08 0.   0.98 0.31 0.61], memory_salary=[18.15  5.9  11.56 21.97  6.62], birth=40, workaholic=0.73, needs=0.8499999999999999

Person(name=Alice Thompson, budget=270.88, starvation=-3360, age=19.000000000000014, satisfaction=82.82, jobs=['MeatMaker(name=Alice Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.98 0.31 0.61 0.58], memory_salary=[ 5.9  11.56 21.97  6.62  7.56], birth=41, workaholic=0.73, needs=0.9499999999999998

