Person(name=Chris Davis, budget=31.52, starvation=4000, age=18.1, satisfaction=-3.75, jobs=['CerealMaker(name=Chris Davis, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.54], memory_salary=[8.71], birth=0, workaholic=0.76, needs=0.05

Person(name=Chris Davis, budget=31.42, starvation=4200, age=18.200000000000003, satisfaction=11.54, jobs=['CerealMaker(name=Chris Davis, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.54 0.72], memory_salary=[8.71 0.63], birth=1, workaholic=0.76, needs=0.15000000000000002

Person(name=Chris Davis, budget=31.22, starvation=4900, age=18.300000000000004, satisfaction=21.78, jobs=['CerealMaker(name=Chris Davis, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.54 0.72 1.64], memory_salary=[8.71 0.63 1.44], birth=2, workaholic=0.76, needs=0.25

Person(name=Chris Davis, budget=32.45, starvation=5600, age=18.400000000000006, satisfaction=19.49, jobs=['CerealMaker(name=Chris Davis, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.54 0.72 1.64 1.65], memory_salary=[8.71 0.63 1.44 2.88], birth=3, workaholic=0.76, needs=0.15

Person(name=Chris Davis, budget=33.55, starvation=6300, age=18.500000000000007, satisfaction=32.84, jobs=['CerealMaker(name=Chris Davis, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.54 0.72 1.64 1.65 1.8 ], memory_salary=[8.71 0.63 1.44 2.88 2.9 ], birth=4, workaholic=0.76, needs=0.25

Person(name=Chris Davis, budget=33.44, starvation=7000, age=18.60000000000001, satisfaction=35.35, jobs=['MeatMaker(name=Chris Davis, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.72 1.64 1.65 1.8  1.7 ], memory_salary=[0.63 1.44 2.88 2.9  1.58], birth=5, workaholic=0.76, needs=0.35

Person(name=Chris Davis, budget=34.83, starvation=5000, age=18.70000000000001, satisfaction=34.13, jobs=['MeatMaker(name=Chris Davis, job_satisfied=0.4, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.64 1.65 1.8  1.7  0.  ], memory_salary=[1.44 2.88 2.9  1.58 1.39], birth=6, workaholic=0.76, needs=0.44999999999999996

Person(name=Chris Davis, budget=35.18, starvation=3000, age=18.80000000000001, satisfaction=32.85, jobs=['MeatMaker(name=Chris Davis, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.65 1.8  1.7  0.   0.  ], memory_salary=[2.88 2.9  1.58 1.39 0.35], birth=7, workaholic=0.76, needs=0.5499999999999999

Person(name=Chris Davis, budget=34.28, starvation=3550, age=18.900000000000013, satisfaction=33.48, jobs=['MeatMaker(name=Chris Davis, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.8  1.7  0.   0.   1.98], memory_salary=[2.9  1.58 1.39 0.35 1.08], birth=8, workaholic=0.76, needs=0.6499999999999999

Person(name=Chris Davis, budget=35.57, starvation=2650, age=19.000000000000014, satisfaction=32.58, jobs=['MeatMaker(name=Chris Davis, job_satisfied=0.55, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.7  0.   0.   1.98 0.4 ], memory_salary=[1.58 1.39 0.35 1.08 1.69], birth=9, workaholic=0.76, needs=0.5499999999999999

