Person(name=Bob Smith, budget=37.61, starvation=1380, age=18.1, satisfaction=-1.48, jobs=['MeatMaker(name=Bob Smith, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.87], memory_salary=[8.48], birth=23, workaholic=0.31, needs=0.05

Person(name=Bob Smith, budget=37.96, starvation=-620, age=18.200000000000003, satisfaction=-2.55, jobs=['MeatMaker(name=Bob Smith, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.87 0.  ], memory_salary=[8.48 0.35], birth=24, workaholic=0.31, needs=0.15000000000000002

Person(name=Bob Smith, budget=38.79, starvation=-1670, age=18.300000000000004, satisfaction=4.95, jobs=['MeatMaker(name=Bob Smith, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.87 0.   0.47], memory_salary=[8.48 0.35 1.3 ], birth=25, workaholic=0.31, needs=0.25

Person(name=Bob Smith, budget=38.55, starvation=-240, age=18.400000000000006, satisfaction=6.7, jobs=['MeatMaker(name=Bob Smith, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.87 0.   0.47 1.99], memory_salary=[8.48 0.35 1.3  1.75], birth=26, workaholic=0.31, needs=0.35

Person(name=Bob Smith, budget=40.34, starvation=210, age=18.500000000000007, satisfaction=9.51, jobs=['MeatMaker(name=Bob Smith, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.87 0.   0.47 1.99 1.09], memory_salary=[8.48 0.35 1.3  1.75 2.87], birth=27, workaholic=0.31, needs=0.44999999999999996

Person(name=Bob Smith, budget=39.94, starvation=840, age=18.60000000000001, satisfaction=12.5, jobs=['MeatMaker(name=Bob Smith, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.47 1.99 1.09 1.35], memory_salary=[0.35 1.3  1.75 2.87 0.96], birth=28, workaholic=0.31, needs=0.5499999999999999

Person(name=Bob Smith, budget=40.49, starvation=1690, age=18.70000000000001, satisfaction=14.78, jobs=['MeatMaker(name=Bob Smith, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.47 1.99 1.09 1.35 1.41], memory_salary=[1.3  1.75 2.87 0.96 1.96], birth=29, workaholic=0.31, needs=0.6499999999999999

Person(name=Bob Smith, budget=44.12, starvation=-310, age=18.80000000000001, satisfaction=13.41, jobs=['MeatMaker(name=Bob Smith, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.99 1.09 1.35 1.41 0.  ], memory_salary=[1.75 2.87 0.96 1.96 3.63], birth=30, workaholic=0.31, needs=0.7299999999999999

Person(name=Bob Smith, budget=45.98, starvation=-1210, age=18.900000000000013, satisfaction=12.44, jobs=['MeatMaker(name=Bob Smith, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.09 1.35 1.41 0.   0.33], memory_salary=[2.87 0.96 1.96 3.63 2.18], birth=31, workaholic=0.31, needs=0.8299999999999998

Person(name=Bob Smith, budget=47.65, starvation=-460, age=19.000000000000014, satisfaction=12.78, jobs=['MeatMaker(name=Bob Smith, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.35 1.41 0.   0.33 0.79], memory_salary=[0.96 1.96 3.63 2.18 2.46], birth=32, workaholic=0.31, needs=0.9299999999999998

