Person(name=Larry Thompson, budget=96.13, starvation=3200, age=18.1, satisfaction=-2.17, jobs=['PieMaker(name=Larry Thompson, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.83], memory_salary=[67.96], birth=24, workaholic=0.3, needs=0.05

Person(name=Larry Thompson, budget=97.23, starvation=1200, age=18.200000000000003, satisfaction=-3.24, jobs=['PieMaker(name=Larry Thompson, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.83 0.  ], memory_salary=[67.96  1.1 ], birth=25, workaholic=0.3, needs=0.15000000000000002

Person(name=Larry Thompson, budget=97.99, starvation=-800, age=18.300000000000004, satisfaction=-4.37, jobs=['PieMaker(name=Larry Thompson, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.83 0.   0.  ], memory_salary=[67.96  1.1   0.76], birth=26, workaholic=0.3, needs=0.25

Person(name=Larry Thompson, budget=97.94, starvation=60, age=18.400000000000006, satisfaction=-4.19, jobs=['PieMaker(name=Larry Thompson, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.83 0.   0.   0.9 ], memory_salary=[67.96  1.1   0.76  0.85], birth=27, workaholic=0.3, needs=0.35

Person(name=Larry Thompson, budget=98.54, starvation=-1940, age=18.500000000000007, satisfaction=-5.42, jobs=['MeatMaker(name=Larry Thompson, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.83 0.   0.   0.9  0.  ], memory_salary=[67.96  1.1   0.76  0.85  0.6 ], birth=28, workaholic=0.3, needs=0.44999999999999996

Person(name=Larry Thompson, budget=98.28, starvation=350, age=18.60000000000001, satisfaction=-5.94, jobs=['MeatMaker(name=Larry Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.   0.9  0.   1.44], memory_salary=[1.1  0.76 0.85 0.6  1.18], birth=29, workaholic=0.3, needs=0.5499999999999999

Person(name=Larry Thompson, budget=101.1, starvation=-550, age=18.70000000000001, satisfaction=-6.84, jobs=['MeatMaker(name=Larry Thompson, job_satisfied=0.94, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.9  0.   1.44 0.32], memory_salary=[0.76 0.85 0.6  1.18 3.14], birth=30, workaholic=0.3, needs=0.6499999999999999

Person(name=Larry Thompson, budget=106.29, starvation=-1120, age=18.80000000000001, satisfaction=-7.9, jobs=['MeatMaker(name=Larry Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.9  0.   1.44 0.32 0.4 ], memory_salary=[0.85 0.6  1.18 3.14 5.59], birth=31, workaholic=0.3, needs=0.7499999999999999

Person(name=Larry Thompson, budget=107.97, starvation=-260, age=18.900000000000013, satisfaction=-5.27, jobs=['MeatMaker(name=Larry Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.44 0.32 0.4  1.02], memory_salary=[0.6  1.18 3.14 5.59 2.7 ], birth=32, workaholic=0.3, needs=0.8499999999999999

Person(name=Larry Thompson, budget=107.78, starvation=1380, age=19.000000000000014, satisfaction=-5.22, jobs=['CerealMaker(name=Larry Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.44 0.32 0.4  1.02 1.49], memory_salary=[1.18 3.14 5.59 2.7  1.3 ], birth=33, workaholic=0.3, needs=0.9499999999999998

