Person(name=John Martin, budget=37.68, starvation=-450, age=18.1, satisfaction=-1.06, jobs=['CerealMaker(name=John Martin, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.15], memory_salary=[7.83], birth=7, workaholic=0.77, needs=0.05

Person(name=John Martin, budget=37.51, starvation=300, age=18.200000000000003, satisfaction=12.23, jobs=['CerealMaker(name=John Martin, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.15 0.81], memory_salary=[7.83 0.64], birth=8, workaholic=0.77, needs=0.15000000000000002

Person(name=John Martin, budget=39.06, starvation=-1700, age=18.300000000000004, satisfaction=11.11, jobs=['CerealMaker(name=John Martin, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.15 0.81 0.  ], memory_salary=[7.83 0.64 1.55], birth=9, workaholic=0.77, needs=0.25

Person(name=John Martin, budget=41.24, starvation=-400, age=18.400000000000006, satisfaction=13.45, jobs=['CerealMaker(name=John Martin, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.15 0.81 0.   0.89], memory_salary=[7.83 0.64 1.55 3.08], birth=10, workaholic=0.77, needs=0.35

Person(name=John Martin, budget=44.18, starvation=-1850, age=18.500000000000007, satisfaction=13.37, jobs=['CerealMaker(name=John Martin, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.15 0.81 0.   0.89 0.15], memory_salary=[7.83 0.64 1.55 3.08 3.09], birth=11, workaholic=0.77, needs=0.44999999999999996

Person(name=John Martin, budget=45.09, starvation=-550, age=18.60000000000001, satisfaction=17.44, jobs=['CerealMaker(name=John Martin, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.81 0.   0.89 0.15 0.99], memory_salary=[0.64 1.55 3.08 3.09 1.89], birth=12, workaholic=0.77, needs=0.5499999999999999

Person(name=John Martin, budget=46.69, starvation=-1450, age=18.70000000000001, satisfaction=17.47, jobs=['CerealMaker(name=John Martin, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.89 0.15 0.99 0.32], memory_salary=[1.55 3.08 3.09 1.89 1.93], birth=13, workaholic=0.77, needs=0.6499999999999999

Person(name=John Martin, budget=47.11, starvation=-150, age=18.80000000000001, satisfaction=18.86, jobs=['CerealMaker(name=John Martin, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.89 0.15 0.99 0.32 0.94], memory_salary=[3.08 3.09 1.89 1.93 1.36], birth=14, workaholic=0.77, needs=0.7499999999999999

Person(name=John Martin, budget=48.42, starvation=-1600, age=18.900000000000013, satisfaction=17.73, jobs=['CerealMaker(name=John Martin, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.15 0.99 0.32 0.94 0.16], memory_salary=[3.09 1.89 1.93 1.36 1.47], birth=15, workaholic=0.77, needs=0.8499999999999999

Person(name=John Martin, budget=49.57, starvation=-1400, age=19.000000000000014, satisfaction=16.5, jobs=['CerealMaker(name=John Martin, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.99 0.32 0.94 0.16 0.62], memory_salary=[1.89 1.93 1.36 1.47 1.77], birth=16, workaholic=0.77, needs=0.9499999999999998

