Person(name=Robert Taylor, budget=57.23, starvation=1380, age=18.1, satisfaction=-1.35, jobs=['BreadMaker(name=Robert Taylor, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95], memory_salary=[28.18], birth=35, workaholic=0.91, needs=0.05

Person(name=Robert Taylor, budget=58.89, starvation=-620, age=18.200000000000003, satisfaction=-2.43, jobs=['BreadMaker(name=Robert Taylor, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.  ], memory_salary=[28.18  1.66], birth=36, workaholic=0.91, needs=0.15000000000000002

Person(name=Robert Taylor, budget=60.72, starvation=-90, age=18.300000000000004, satisfaction=42.85, jobs=['BreadMaker(name=Robert Taylor, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.92], memory_salary=[28.18  1.66  2.75], birth=37, workaholic=0.91, needs=0.25

Person(name=Robert Taylor, budget=62.23, starvation=-890, age=18.400000000000006, satisfaction=49.57, jobs=['BreadMaker(name=Robert Taylor, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.92 1.01], memory_salary=[28.18  1.66  2.75  2.53], birth=38, workaholic=0.91, needs=0.35

Person(name=Robert Taylor, budget=63.56, starvation=-1790, age=18.500000000000007, satisfaction=50.93, jobs=['BreadMaker(name=Robert Taylor, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.92 1.01 0.36], memory_salary=[28.18  1.66  2.75  2.53  1.69], birth=39, workaholic=0.91, needs=0.44999999999999996

Person(name=Robert Taylor, budget=66.09, starvation=-760, age=18.60000000000001, satisfaction=56.49, jobs=['BreadMaker(name=Robert Taylor, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.92 1.01 0.36 1.91], memory_salary=[1.66 2.75 2.53 1.69 4.44], birth=40, workaholic=0.91, needs=0.5499999999999999

Person(name=Robert Taylor, budget=68.76, starvation=-710, age=18.70000000000001, satisfaction=58.92, jobs=['MilkMaker(name=Robert Taylor, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.92 1.01 0.36 1.91 0.83], memory_salary=[2.75 2.53 1.69 4.44 3.5 ], birth=41, workaholic=0.91, needs=0.6499999999999999

Person(name=Robert Taylor, budget=69.9, starvation=-1110, age=18.80000000000001, satisfaction=59.85, jobs=['MilkMaker(name=Robert Taylor, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.01 0.36 1.91 0.83 1.44], memory_salary=[2.53 1.69 4.44 3.5  2.58], birth=42, workaholic=0.91, needs=0.7499999999999999

Person(name=Robert Taylor, budget=69.88, starvation=-250, age=18.900000000000013, satisfaction=59.29, jobs=['BreadMaker(name=Robert Taylor, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.36 1.91 0.83 1.44 1.03], memory_salary=[1.69 4.44 3.5  2.58 1.01], birth=43, workaholic=0.91, needs=0.8499999999999999

Person(name=Robert Taylor, budget=71.76, starvation=610, age=19.000000000000014, satisfaction=57.9, jobs=['BreadMaker(name=Robert Taylor, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.91 0.83 1.44 1.03 0.8 ], memory_salary=[4.44 3.5  2.58 1.01 2.68], birth=44, workaholic=0.91, needs=0.9499999999999998

