Person(name=Alice Miller, budget=40.4, starvation=5900, age=18.1, satisfaction=-4.15, jobs=['MeatMaker(name=Alice Miller, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.38], memory_salary=[13.78], birth=1, workaholic=0.65, needs=0.05

Person(name=Alice Miller, budget=40.84, starvation=3900, age=18.200000000000003, satisfaction=-5.22, jobs=['MeatMaker(name=Alice Miller, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.38 0.  ], memory_salary=[13.78  0.44], birth=2, workaholic=0.65, needs=0.15000000000000002

Person(name=Alice Miller, budget=40.91, starvation=4600, age=18.300000000000004, satisfaction=11.17, jobs=['MeatMaker(name=Alice Miller, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.38 0.   1.57], memory_salary=[13.78  0.44  1.64], birth=3, workaholic=0.65, needs=0.25

Person(name=Alice Miller, budget=42.94, starvation=3150, age=18.400000000000006, satisfaction=10.6, jobs=['MeatMaker(name=Alice Miller, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.38 0.   1.57 0.18], memory_salary=[13.78  0.44  1.64  2.21], birth=4, workaholic=0.65, needs=0.35

Person(name=Alice Miller, budget=46.55, starvation=1150, age=18.500000000000007, satisfaction=9.37, jobs=['MeatMaker(name=Alice Miller, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.38 0.   1.57 0.18 0.  ], memory_salary=[13.78  0.44  1.64  2.21  3.61], birth=5, workaholic=0.65, needs=0.44999999999999996

Person(name=Alice Miller, budget=47.75, starvation=-850, age=18.60000000000001, satisfaction=8.1, jobs=['CerealMaker(name=Alice Miller, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.57 0.18 0.   0.  ], memory_salary=[0.44 1.64 2.21 3.61 1.2 ], birth=6, workaholic=0.65, needs=0.5499999999999999

Person(name=Alice Miller, budget=47.77, starvation=-150, age=18.70000000000001, satisfaction=7.81, jobs=['CerealMaker(name=Alice Miller, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.57 0.18 0.   0.   1.46], memory_salary=[1.64 2.21 3.61 1.2  1.48], birth=7, workaholic=0.65, needs=0.6499999999999999

Person(name=Alice Miller, budget=47.24, starvation=550, age=18.80000000000001, satisfaction=5.09, jobs=['CerealMaker(name=Alice Miller, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.18 0.   0.   1.46 1.57], memory_salary=[2.21 3.61 1.2  1.48 1.04], birth=8, workaholic=0.65, needs=0.7499999999999999

Person(name=Alice Miller, budget=48.42, starvation=-900, age=18.900000000000013, satisfaction=3.95, jobs=['CerealMaker(name=Alice Miller, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.   1.46 1.57 0.19], memory_salary=[3.61 1.2  1.48 1.04 1.37], birth=9, workaholic=0.65, needs=0.6499999999999999

Person(name=Alice Miller, budget=49.15, starvation=-370, age=19.000000000000014, satisfaction=3.37, jobs=['CerealMaker(name=Alice Miller, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.46 1.57 0.19 0.84], memory_salary=[1.2  1.48 1.04 1.37 1.57], birth=10, workaholic=0.65, needs=0.7499999999999999

