Person(name=Eve Williams, budget=32.23, starvation=4000, age=18.1, satisfaction=-3.56, jobs=['BreadMaker(name=Eve Williams, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.1], memory_salary=[9.19], birth=0, workaholic=0.88, needs=0.05

Person(name=Eve Williams, budget=33.87, starvation=2000, age=18.200000000000003, satisfaction=-4.63, jobs=['BreadMaker(name=Eve Williams, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.1 0. ], memory_salary=[9.19 1.64], birth=1, workaholic=0.88, needs=0.15000000000000002

Person(name=Eve Williams, budget=36.58, starvation=0, age=18.300000000000004, satisfaction=-5.76, jobs=['BreadMaker(name=Eve Williams, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.1 0.  0. ], memory_salary=[9.19 1.64 2.71], birth=2, workaholic=0.88, needs=0.25

Person(name=Eve Williams, budget=37.97, starvation=920, age=18.400000000000006, satisfaction=-1.66, jobs=['BreadMaker(name=Eve Williams, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.1  0.   0.   1.09], memory_salary=[9.19 1.64 2.71 2.49], birth=3, workaholic=0.88, needs=0.35

Person(name=Eve Williams, budget=39.33, starvation=20, age=18.500000000000007, satisfaction=-0.28, jobs=['PieMaker(name=Eve Williams, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.1  0.   0.   1.09 0.3 ], memory_salary=[9.19 1.64 2.71 2.49 1.66], birth=4, workaholic=0.88, needs=0.44999999999999996

Person(name=Eve Williams, budget=43.24, starvation=-1430, age=18.60000000000001, satisfaction=-0.8, jobs=['PieMaker(name=Eve Williams, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.   1.09 0.3  0.15], memory_salary=[1.64 2.71 2.49 1.66 4.06], birth=5, workaholic=0.88, needs=0.5499999999999999

Person(name=Eve Williams, budget=47.86, starvation=-570, age=18.70000000000001, satisfaction=-0.57, jobs=['PieMaker(name=Eve Williams, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.09 0.3  0.15 0.81], memory_salary=[2.71 2.49 1.66 4.06 5.43], birth=6, workaholic=0.88, needs=0.6499999999999999

Person(name=Eve Williams, budget=53.89, starvation=290, age=18.80000000000001, satisfaction=-0.38, jobs=['PieMaker(name=Eve Williams, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.09 0.3  0.15 0.81 0.8 ], memory_salary=[2.49 1.66 4.06 5.43 6.83], birth=7, workaholic=0.88, needs=0.7499999999999999

Person(name=Eve Williams, budget=59.13, starvation=-60, age=18.900000000000013, satisfaction=1.7, jobs=['PieMaker(name=Eve Williams, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.3  0.15 0.81 0.8  0.48], memory_salary=[1.66 4.06 5.43 6.83 5.72], birth=8, workaholic=0.88, needs=0.8499999999999999

Person(name=Eve Williams, budget=65.64, starvation=-960, age=19.000000000000014, satisfaction=1.68, jobs=['PieMaker(name=Eve Williams, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.15 0.81 0.8  0.48 0.32], memory_salary=[4.06 5.43 6.83 5.72 6.82], birth=9, workaholic=0.88, needs=0.9499999999999998

