MilkMaker(name=John Smith, job_satisfied=0.5, employer=bbb, salary=5.18, working_hours=8)

MilkMaker(name=John Smith, job_satisfied=0.6, employer=bbb, salary=0.67, working_hours=8)

MilkMaker(name=John Smith, job_satisfied=0.7, employer=bbb, salary=0.77, working_hours=8)

MilkMaker(name=John Smith, job_satisfied=0.8, employer=bbb, salary=0.88, working_hours=8)

MilkMaker(name=John Smith, job_satisfied=0.86, employer=bbb, salary=0.71, working_hours=8)

MilkMaker(name=John Smith, job_satisfied=0.96, employer=bbb, salary=1.49, working_hours=8)

MilkMaker(name=John Smith, job_satisfied=0.98, employer=bbb, salary=1.78, working_hours=8)

MilkMaker(name=John Smith, job_satisfied=1.0, employer=bbb, salary=1.52, working_hours=8)

MilkMaker(name=John Smith, job_satisfied=1.0, employer=bbb, salary=0.6, working_hours=8)

BreadMaker(name=John Smith, job_satisfied=1.0, employer=bbb, salary=1.18, working_hours=8)

