MeatMaker(name=Sam Johnson, job_satisfied=0.5, employer=bbb, salary=9.88, working_hours=8)

MeatMaker(name=Sam Johnson, job_satisfied=0.6, employer=bbb, salary=1.06, working_hours=8)

MeatMaker(name=Sam Johnson, job_satisfied=0.7, employer=bbb, salary=0.72, working_hours=8)

MeatMaker(name=Sam Johnson, job_satisfied=0.8, employer=bbb, salary=0.63, working_hours=8)

MeatMaker(name=Sam Johnson, job_satisfied=0.9, employer=bbb, salary=0.44, working_hours=8)

MeatMaker(name=Sam Johnson, job_satisfied=0.8, employer=bbb, salary=2.23, working_hours=8)

MeatMaker(name=Sam Johnson, job_satisfied=0.9, employer=bbb, salary=1.32, working_hours=8)

MeatMaker(name=Sam Johnson, job_satisfied=1.0, employer=bbb, salary=0.38, working_hours=8)

BreadMaker(name=Sam Johnson, job_satisfied=1.0, employer=bbb, salary=2.76, working_hours=8)

BreadMaker(name=Sam Johnson, job_satisfied=1.0, employer=bbb, salary=1.18, working_hours=8)

