MilkMaker(name=Bob Smith, job_satisfied=0.5, employer=bbb, salary=6.79, working_hours=8)

MilkMaker(name=Bob Smith, job_satisfied=0.6, employer=bbb, salary=0.76, working_hours=8)

MilkMaker(name=Bob Smith, job_satisfied=0.7, employer=bbb, salary=0.87, working_hours=8)

MilkMaker(name=Bob Smith, job_satisfied=0.8, employer=bbb, salary=1.0, working_hours=8)

MilkMaker(name=Bob Smith, job_satisfied=0.9, employer=bbb, salary=0.81, working_hours=8)

BreadMaker(name=Bob Smith, job_satisfied=0.92, employer=bbb, salary=2.24, working_hours=8)

BreadMaker(name=Bob Smith, job_satisfied=1.0, employer=bbb, salary=1.67, working_hours=8)

MilkMaker(name=Bob Smith, job_satisfied=1.0, employer=bbb, salary=1.74, working_hours=8)

MilkMaker(name=Bob Smith, job_satisfied=1.0, employer=bbb, salary=0.68, working_hours=8)

MilkMaker(name=Bob Smith, job_satisfied=1.0, employer=bbb, salary=1.13, working_hours=8)

