CerealMaker(name=John Martin, job_satisfied=0.5, employer=bbbccaa, salary=7.83, working_hours=8)

CerealMaker(name=John Martin, job_satisfied=0.6, employer=bbbccaa, salary=0.64, working_hours=8)

CerealMaker(name=John Martin, job_satisfied=0.7, employer=bbbccaa, salary=1.55, working_hours=8)

CerealMaker(name=John Martin, job_satisfied=0.8, employer=bbbccaa, salary=3.08, working_hours=8)

CerealMaker(name=John Martin, job_satisfied=0.9, employer=bbbccaa, salary=3.09, working_hours=8)

CerealMaker(name=John Martin, job_satisfied=1.0, employer=bbbccaa, salary=1.89, working_hours=8)

CerealMaker(name=John Martin, job_satisfied=1.0, employer=bbbccaa, salary=1.93, working_hours=8)

CerealMaker(name=John Martin, job_satisfied=1.0, employer=bbbccaa, salary=1.36, working_hours=8)

CerealMaker(name=John Martin, job_satisfied=1.0, employer=bbbccaa, salary=1.47, working_hours=8)

CerealMaker(name=John Martin, job_satisfied=1.0, employer=bbbccaa, salary=1.77, working_hours=8)

