MilkMaker(name=Bob Brown, job_satisfied=0.5, employer=bbbccaa, salary=10.04, working_hours=8)

MilkMaker(name=Bob Brown, job_satisfied=0.6, employer=bbbccaa, salary=0.43, working_hours=8)

MilkMaker(name=Bob Brown, job_satisfied=0.7, employer=bbbccaa, salary=1.33, working_hours=8)

MilkMaker(name=Bob Brown, job_satisfied=0.8, employer=bbbccaa, salary=2.43, working_hours=8)

MilkMaker(name=Bob Brown, job_satisfied=0.87, employer=bbbccaa, salary=2.7, working_hours=8)

MilkMaker(name=Bob Brown, job_satisfied=0.97, employer=bbbccaa, salary=1.72, working_hours=8)

MilkMaker(name=Bob Brown, job_satisfied=1.0, employer=bbbccaa, salary=2.05, working_hours=8)

MilkMaker(name=Bob Brown, job_satisfied=1.0, employer=bbbccaa, salary=2.8, working_hours=8)

MilkMaker(name=Bob Brown, job_satisfied=1.0, employer=bbbccaa, salary=2.36, working_hours=8)

MilkMaker(name=Bob Brown, job_satisfied=1.0, employer=bbbccaa, salary=1.42, working_hours=8)

