MilkMaker(name=Samantha Smith, job_satisfied=0.5, employer=bbbccaa, salary=4.64, working_hours=8)

MilkMaker(name=Samantha Smith, job_satisfied=0.4, employer=bbbccaa, salary=0.4, working_hours=8)

MilkMaker(name=Samantha Smith, job_satisfied=0.39, employer=bbbccaa, salary=1.09, working_hours=8)

MilkMaker(name=Samantha Smith, job_satisfied=0.29, employer=bbbccaa, salary=1.86, working_hours=8)

MilkMaker(name=Samantha Smith, job_satisfied=0.39, employer=bbbccaa, salary=1.82, working_hours=8)

MilkMaker(name=Samantha Smith, job_satisfied=0.49, employer=bbbccaa, salary=1.2, working_hours=8)

MeatMaker(name=Samantha Smith, job_satisfied=0.59, employer=bbb, salary=1.35, working_hours=8)

MeatMaker(name=Samantha Smith, job_satisfied=0.69, employer=bbb, salary=0.39, working_hours=8)

MeatMaker(name=Samantha Smith, job_satisfied=0.79, employer=bbb, salary=1.19, working_hours=8)

PieMaker(name=Samantha Smith, job_satisfied=0.89, employer=bbb, salary=3.23, working_hours=8)

