PieMaker(name=Larry Thompson, job_satisfied=0.5, employer=bbb, salary=67.96, working_hours=8)

PieMaker(name=Larry Thompson, job_satisfied=0.6, employer=bbb, salary=1.1, working_hours=8)

PieMaker(name=Larry Thompson, job_satisfied=0.7, employer=bbb, salary=0.76, working_hours=8)

PieMaker(name=Larry Thompson, job_satisfied=0.8, employer=bbb, salary=0.85, working_hours=8)

PieMaker(name=Larry Thompson, job_satisfied=0.9, employer=bbb, salary=0.6, working_hours=8)

MeatMaker(name=Larry Thompson, job_satisfied=1.0, employer=bbbccaa, salary=1.18, working_hours=8)

MeatMaker(name=Larry Thompson, job_satisfied=0.94, employer=bbbccaa, salary=3.14, working_hours=8)

MeatMaker(name=Larry Thompson, job_satisfied=1.0, employer=bbbccaa, salary=5.59, working_hours=8)

MeatMaker(name=Larry Thompson, job_satisfied=1.0, employer=bbbccaa, salary=2.7, working_hours=8)

CerealMaker(name=Larry Thompson, job_satisfied=1.0, employer=bbbccaa, salary=1.3, working_hours=8)

