MeatMaker(name=Bob Smith, job_satisfied=0.5, employer=bbbccaa, salary=8.48, working_hours=8)

MeatMaker(name=Bob Smith, job_satisfied=0.6, employer=bbbccaa, salary=0.35, working_hours=8)

MeatMaker(name=Bob Smith, job_satisfied=0.7, employer=bbbccaa, salary=1.3, working_hours=8)

MeatMaker(name=Bob Smith, job_satisfied=0.8, employer=bbbccaa, salary=1.75, working_hours=8)

MeatMaker(name=Bob Smith, job_satisfied=0.9, employer=bbbccaa, salary=2.87, working_hours=8)

MeatMaker(name=Bob Smith, job_satisfied=1.0, employer=bbbccaa, salary=0.96, working_hours=8)

MeatMaker(name=Bob Smith, job_satisfied=1.0, employer=bbbccaa, salary=1.96, working_hours=8)

MeatMaker(name=Bob Smith, job_satisfied=1.0, employer=bbbccaa, salary=3.63, working_hours=8)

MeatMaker(name=Bob Smith, job_satisfied=1.0, employer=bbbccaa, salary=2.18, working_hours=8)

MeatMaker(name=Bob Smith, job_satisfied=1.0, employer=bbbccaa, salary=2.46, working_hours=8)

