CerealMaker(name=Eve Miller, job_satisfied=0.5, employer=bbb, salary=8.49, working_hours=8)

PieMaker(name=Eve Miller, job_satisfied=0.6, employer=bbbccaa, salary=0.0, working_hours=8)

PieMaker(name=Eve Miller, job_satisfied=0.7, employer=bbbccaa, salary=4.9, working_hours=8)

PieMaker(name=Eve Miller, job_satisfied=0.8, employer=bbbccaa, salary=10.84, working_hours=8)

MeatMaker(name=Eve Miller, job_satisfied=0.9, employer=bbbccaa, salary=9.19, working_hours=8)

CerealMaker(name=Eve Miller, job_satisfied=1.0, employer=bbbccaa, salary=3.09, working_hours=8)

CerealMaker(name=Eve Miller, job_satisfied=1.0, employer=bbbccaa, salary=2.56, working_hours=8)

CerealMaker(name=Eve Miller, job_satisfied=1.0, employer=bbbccaa, salary=1.79, working_hours=8)

MilkMaker(name=Eve Miller, job_satisfied=1.0, employer=bbbccaa, salary=2.86, working_hours=8)

MilkMaker(name=Eve Miller, job_satisfied=1.0, employer=bbbccaa, salary=1.73, working_hours=8)

